seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
199733,19,0.6517882347106934,0.71875,0.4554,0.6060750484466553,0.00012127659574468084
398556,38,0.6075289249420166,0.65625,0.6174,2.9889369010925293,0.00024255319148936167
594849,57,0.4835951626300812,0.8125,0.4582,6.4681549072265625,0.0003
794842,76,0.5185445547103882,0.8125,0.7006,10.2065269947052,0.0003
993046,95,0.41654863953590393,0.78125,0.6788,13.945931196212769,0.0003
1189304,114,0.3899601697921753,0.84375,0.7456,17.64622735977173,0.0003
1384428,133,0.3570387065410614,0.875,0.7822,21.37708306312561,0.0003
1580202,152,0.45658615231513977,0.8125,0.7544,25.106438398361206,0.0003
1782854,171,0.33279329538345337,0.8125,0.7652,29.231529474258423,0.0003
1979132,190,0.44104814529418945,0.78125,0.7744,34.00619077682495,0.0003
2177478,209,0.3648189306259155,0.9375,0.7974,37.335938692092896,0.0003
2375463,228,0.4606359899044037,0.75,0.7196,41.91670107841492,0.0003
2570531,247,0.7690503597259521,0.59375,0.8006,46.58780813217163,0.0003
2769282,266,0.5195692181587219,0.65625,0.8096,51.31599545478821,0.0003
2970031,285,0.44115617871284485,0.75,0.7828,56.0292284488678,0.0003
3168116,304,0.36891305446624756,0.71875,0.8068,60.76010727882385,0.0003
3368886,323,0.19664545357227325,0.875,0.8086,65.46291327476501,0.0003
3569129,342,0.40765026211738586,0.78125,0.7864,70.1728208065033,0.0003
3766058,361,0.22050127387046814,0.875,0.8028,74.89899516105652,0.0003
3961900,380,0.2789449095726013,0.84375,0.848,79.60420751571655,0.0003
4159691,399,0.283584862947464,0.875,0.7768,84.29687261581421,0.0003
4354673,418,0.32171300053596497,0.84375,0.8228,88.9868471622467,0.0003
4551582,437,0.4826294779777527,0.75,0.8594,92.66171097755432,0.0003
4749270,456,0.28803107142448425,0.875,0.8704,95.4947874546051,0.0003
4950137,475,0.347911536693573,0.875,0.8532,98.41414403915405,0.0003
5144165,494,0.29834482073783875,0.84375,0.862,101.59404635429382,0.0003
5344217,513,0.33141133189201355,0.78125,0.8696,104.58234190940857,0.0003
5539903,532,0.23868563771247864,0.875,0.867,107.86139607429504,0.0003
5739918,551,0.33225828409194946,0.75,0.8532,111.08953356742859,0.0003
5937990,570,0.26974526047706604,0.875,0.8784,114.47973799705505,0.0003
6134823,589,0.18969525396823883,0.90625,0.84,117.82224702835083,0.0003
6338543,608,0.40189221501350403,0.75,0.8422,121.22049522399902,0.0003
6535835,627,0.30438560247421265,0.9375,0.8662,124.53710675239563,0.0003
6732036,646,0.27610868215560913,0.875,0.8828,126.8146665096283,0.0003
6928579,665,0.19234496355056763,0.875,0.8492,130.49822664260864,0.0003
7127151,684,0.39870283007621765,0.78125,0.8852,134.23052716255188,0.0003
7327839,703,0.16513070464134216,0.9375,0.8914,137.94542360305786,0.0003
7523746,722,0.1834324151277542,0.9375,0.893,141.7125198841095,0.0003
7721607,741,0.33389946818351746,0.8125,0.8994,145.42519330978394,0.0003
7921079,760,0.284211128950119,0.90625,0.897,149.15489220619202,0.0003
8120232,779,0.24231401085853577,0.875,0.8974,153.61320757865906,0.0003
8318414,798,0.2543424665927887,0.875,0.9,158.40559124946594,0.0003
8519709,817,0.40976381301879883,0.78125,0.8818,161.78110718727112,0.0003
8718007,836,0.181409552693367,0.9375,0.8772,166.4651074409485,0.0003
8910630,855,0.36352112889289856,0.90625,0.9046,171.18361163139343,0.0003
9108679,874,0.44435879588127136,0.71875,0.884,175.893315076828,0.0003
9306191,893,0.2087564468383789,0.90625,0.8946,180.5982050895691,0.0003
9507757,912,0.26284506916999817,0.84375,0.9056,185.2973666191101,0.0003
9707908,931,0.18956954777240753,0.9375,0.9012,189.9963128566742,0.0003
9904588,950,0.16867730021476746,0.90625,0.9046,194.7090358734131,0.0003
