seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
241724,19,0.6779792904853821,0.53125,0.6592,1.2909364700317383,0.00012127659574468084
484259,38,0.6693437695503235,0.625,0.6596,4.953541040420532,0.00024255319148936167
726082,57,0.47214892506599426,0.71875,0.7092,9.46694540977478,0.0003
967807,76,0.5015944838523865,0.75,0.7194,14.185535907745361,0.0003
1211770,95,0.6048406958580017,0.59375,0.7122,18.92011570930481,0.0003
1452147,114,0.48244237899780273,0.71875,0.706,23.63147759437561,0.0003
1696074,133,0.5545596480369568,0.6875,0.7244,28.34631037712097,0.0003
1937087,152,0.4922924041748047,0.75,0.7056,33.07344889640808,0.0003
2178622,171,0.4358096420764923,0.78125,0.705,37.80843496322632,0.0003
2419540,190,0.4723748564720154,0.78125,0.7276,42.5312557220459,0.0003
2659933,209,0.4231622815132141,0.8125,0.7696,47.23036980628967,0.0003
2901248,228,0.39766183495521545,0.8125,0.7616,51.94937014579773,0.0003
3140884,247,0.45989078283309937,0.71875,0.757,56.67670750617981,0.0003
3380080,266,0.46934446692466736,0.65625,0.779,60.42460489273071,0.0003
3622852,285,0.31897634267807007,0.8125,0.7758,63.26250457763672,0.0003
3862674,304,0.34861651062965393,0.8125,0.7884,66.46256160736084,0.0003
4103448,323,0.4777020215988159,0.8125,0.7398,69.85797214508057,0.0003
4342068,342,0.6439065337181091,0.71875,0.7818,73.79860591888428,0.0003
4582009,361,0.29166045784950256,0.8125,0.7224,77.7398989200592,0.0003
4822592,380,0.42199426889419556,0.75,0.8088,80.96515917778015,0.0003
5063251,399,0.47107478976249695,0.8125,0.7762,84.2664053440094,0.0003
5305345,418,0.5497260093688965,0.65625,0.8034,87.40680193901062,0.0003
5545785,437,0.29591548442840576,0.90625,0.8118,90.51376795768738,0.0003
5782840,456,0.32334840297698975,0.84375,0.7734,93.77240800857544,0.0003
6023910,475,0.2804810702800751,0.90625,0.819,96.21255111694336,0.0003
6268099,494,0.3648194372653961,0.71875,0.8146,99.48339176177979,0.0003
6507958,513,0.207986518740654,0.90625,0.8244,103.26774716377258,0.0003
6751546,532,0.3072469234466553,0.84375,0.8166,106.9930510520935,0.0003
6994147,551,0.267317533493042,0.8125,0.8418,110.71038460731506,0.0003
7236669,570,0.3502180278301239,0.78125,0.8366,114.47834873199463,0.0003
7480304,589,0.2767201066017151,0.875,0.8506,118.24037671089172,0.0003
7722458,608,0.37404507398605347,0.8125,0.8616,122.39632368087769,0.0003
7963285,627,0.23141716420650482,0.875,0.8572,127.20499634742737,0.0003
8205765,646,0.4009782075881958,0.75,0.8296,130.61871004104614,0.0003
8445155,665,0.3814699053764343,0.75,0.8574,135.20765447616577,0.0003
8685294,684,0.29612958431243896,0.84375,0.8676,139.9130835533142,0.0003
8928746,703,0.18207666277885437,0.84375,0.8528,144.61879444122314,0.0003
9170136,722,0.2031201422214508,0.90625,0.857,149.34490609169006,0.0003
9414058,741,0.25733891129493713,0.875,0.871,154.05253338813782,0.0003
9653785,760,0.455888569355011,0.8125,0.8542,158.77525091171265,0.0003
9892627,779,0.1530982106924057,0.90625,0.866,163.48596453666687,0.0003
10133411,798,0.3261334002017975,0.84375,0.8668,168.21409034729004,0.0003
10374506,817,0.28078582882881165,0.8125,0.8706,172.92643213272095,0.0003
10616272,836,0.22995080053806305,0.84375,0.8566,177.64245128631592,0.0003
10857356,855,0.17307226359844208,0.90625,0.8744,182.3467559814453,0.0003
11099935,874,0.2788677215576172,0.90625,0.8556,186.053373336792,0.0003
11340177,893,0.3036462664604187,0.84375,0.8688,189.26893711090088,0.0003
11581135,912,0.22710800170898438,0.875,0.8788,192.51451086997986,0.0003
11824582,931,0.2265191525220871,0.90625,0.8716,195.8829836845398,0.0003
12066029,950,0.23448114097118378,0.8125,0.8654,199.03894519805908,0.0003
