seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
198813,19,0.6663861274719238,0.65625,0.4624,1.2667031288146973,0.00012127659574468084
403973,38,0.6376999616622925,0.59375,0.6796,5.979159355163574,0.00024255319148936167
603321,57,0.6417737603187561,0.5625,0.6926,9.629230499267578,0.0003
804078,76,0.48426133394241333,0.8125,0.7074,12.705552577972412,0.0003
1004385,95,0.5450475811958313,0.6875,0.7714,16.399425506591797,0.0003
1198623,114,0.41227957606315613,0.84375,0.7374,19.767316341400146,0.0003
1398091,133,0.39976757764816284,0.8125,0.7566,22.943445444107056,0.0003
1599531,152,0.44760218262672424,0.71875,0.7554,26.395817756652832,0.0003
1798362,171,0.4222952723503113,0.875,0.8122,29.877264738082886,0.0003
2001285,190,0.3158535957336426,0.84375,0.807,33.32496953010559,0.0003
2199862,209,0.3611036539077759,0.84375,0.8088,36.51500201225281,0.0003
2397805,228,0.3000957667827606,0.875,0.8292,40.211220502853394,0.0003
2594633,247,0.5380560159683228,0.6875,0.738,43.606083393096924,0.0003
2792724,266,0.31984061002731323,0.8125,0.826,45.8003191947937,0.0003
2989039,285,0.29759514331817627,0.875,0.8514,49.46954107284546,0.0003
3185307,304,0.3670297861099243,0.84375,0.8466,53.18074941635132,0.0003
3384998,323,0.2993515729904175,0.90625,0.8504,56.84734106063843,0.0003
3583918,342,0.23064851760864258,0.875,0.8436,60.61181712150574,0.0003
3780305,361,0.38340526819229126,0.8125,0.8706,64.33543658256531,0.0003
3979144,380,0.1639389991760254,0.90625,0.8736,68.08584141731262,0.0003
4176023,399,0.33168157935142517,0.8125,0.8768,72.3401370048523,0.0003
4375745,418,0.12331590056419373,0.90625,0.8684,77.1155161857605,0.0003
4574836,437,0.388228178024292,0.75,0.8338,80.3344235420227,0.0003
4773941,456,0.33644336462020874,0.78125,0.883,85.07820892333984,0.0003
4972480,475,0.26292121410369873,0.875,0.9002,89.77518320083618,0.0003
5170933,494,0.32602259516716003,0.875,0.89,94.48057579994202,0.0003
5371025,513,0.22424790263175964,0.875,0.9086,99.19015312194824,0.0003
5566591,532,0.31432196497917175,0.875,0.889,103.8813419342041,0.0003
5763377,551,0.12743358314037323,0.9375,0.905,108.56545495986938,0.0003
5963380,570,0.31005507707595825,0.875,0.9076,113.27982473373413,0.0003
6165491,589,0.2528509795665741,0.90625,0.9136,118.00313997268677,0.0003
6366162,608,0.44108864665031433,0.8125,0.92,122.72909712791443,0.0003
6564443,627,0.12603163719177246,0.96875,0.9048,127.44000625610352,0.0003
6760358,646,0.25770246982574463,0.90625,0.92,132.14226078987122,0.0003
6960371,665,0.20749236643314362,0.90625,0.906,135.64713764190674,0.0003
7155115,684,0.27207469940185547,0.875,0.918,138.93655443191528,0.0003
7354392,703,0.31516557931900024,0.84375,0.9142,142.23629689216614,0.0003
7551460,722,0.13031525909900665,0.90625,0.9218,145.5556025505066,0.0003
7750300,741,0.15444520115852356,1.0,0.9078,148.9671492576599,0.0003
7948142,760,0.16741378605365753,0.9375,0.9094,152.38670015335083,0.0003
8142356,779,0.23269101977348328,0.90625,0.9164,155.7114679813385,0.0003
8344613,798,0.1528823971748352,0.96875,0.9194,159.10029649734497,0.0003
8543819,817,0.2278096079826355,0.84375,0.9246,162.72267627716064,0.0003
8743224,836,0.24729827046394348,0.875,0.9112,165.92059969902039,0.0003
8942326,855,0.14814557135105133,0.96875,0.9186,168.1873745918274,0.0003
9140561,874,0.04094234108924866,1.0,0.9178,171.82290482521057,0.0003
9337972,893,0.16096524894237518,0.9375,0.9232,175.47470617294312,0.0003
9535469,912,0.1932131052017212,0.9375,0.928,179.20659613609314,0.0003
9735658,931,0.3001662790775299,0.84375,0.9284,182.9211709499359,0.0003
9933693,950,0.30984222888946533,0.8125,0.922,186.64856886863708,0.0003
