seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
202469,19,0.6728846430778503,0.59375,0.5446,0.49144649505615234,0.00012127659574468084
397604,38,0.6460990309715271,0.6875,0.6062,1.50197172164917,0.00024255319148936167
593427,57,0.5114424824714661,0.8125,0.6196,2.484260082244873,0.0003
786517,76,0.6277283430099487,0.59375,0.6714,3.50998592376709,0.0003
983437,95,0.5687628388404846,0.6875,0.6982,4.4994494915008545,0.0003
1180013,114,0.5437272787094116,0.78125,0.752,5.475018262863159,0.0003
1379294,133,0.5191817283630371,0.65625,0.7256,6.5406763553619385,0.0003
1578853,152,0.39491233229637146,0.78125,0.7684,7.928749084472656,0.0003
1776417,171,0.4678303003311157,0.6875,0.7686,9.278877019882202,0.0003
1975745,190,0.49858710169792175,0.75,0.7824,10.361507177352905,0.0003
2173575,209,0.4873040020465851,0.65625,0.7028,11.367631435394287,0.0003
2371864,228,0.7113364338874817,0.5625,0.7754,12.335109949111938,0.0003
2568562,247,0.5282265543937683,0.71875,0.7778,13.326871156692505,0.0003
2766570,266,0.49441438913345337,0.78125,0.7506,14.319648027420044,0.0003
2964212,285,0.33614322543144226,0.84375,0.7878,15.29002070426941,0.0003
3161660,304,0.7868390083312988,0.65625,0.7902,16.314439058303833,0.0003
3360956,323,0.5429803133010864,0.6875,0.794,17.285028219223022,0.0003
3559306,342,0.36847931146621704,0.8125,0.7502,18.26734948158264,0.0003
3758106,361,0.30692774057388306,0.8125,0.7902,19.26602864265442,0.0003
3955291,380,0.41314542293548584,0.875,0.8018,20.31226897239685,0.0003
4153871,399,0.36412790417671204,0.8125,0.8002,21.91698956489563,0.0003
4349189,418,0.45333585143089294,0.75,0.8076,23.23075580596924,0.0003
4550169,437,0.3570735454559326,0.78125,0.807,24.304105758666992,0.0003
4748675,456,0.40499523282051086,0.78125,0.7988,25.284549236297607,0.0003
4947348,475,0.4277809262275696,0.75,0.8038,26.28014850616455,0.0003
5145494,494,0.22754967212677002,0.9375,0.8096,27.287197828292847,0.0003
5345089,513,0.6443961262702942,0.6875,0.8098,28.241048574447632,0.0003
5542626,532,0.5408776998519897,0.75,0.8076,29.250397205352783,0.0003
5742108,551,0.2817162275314331,0.875,0.8052,30.218859434127808,0.0003
5942564,570,0.29730093479156494,0.875,0.8248,31.225051641464233,0.0003
6138526,589,0.36127352714538574,0.78125,0.8186,32.213332653045654,0.0003
6336841,608,0.3185756206512451,0.84375,0.834,33.20640468597412,0.0003
6536024,627,0.25033804774284363,0.90625,0.8284,34.22688579559326,0.0003
6731341,646,0.35305649042129517,0.84375,0.8418,35.216240882873535,0.0003
6927000,665,0.23807385563850403,0.875,0.8482,36.413771629333496,0.0003
7126310,684,0.30058181285858154,0.8125,0.8196,37.65430498123169,0.0003
7327652,703,0.29203253984451294,0.875,0.8556,38.97501015663147,0.0003
7526445,722,0.4320649802684784,0.8125,0.8356,39.998257875442505,0.0003
7723892,741,0.34793829917907715,0.875,0.8482,40.983798027038574,0.0003
7919327,760,0.3230789303779602,0.78125,0.8634,41.97295093536377,0.0003
8120368,779,0.15082332491874695,0.9375,0.8622,42.96085453033447,0.0003
8315804,798,0.21699833869934082,0.9375,0.86,43.94108247756958,0.0003
8513039,817,0.22865958511829376,0.875,0.8584,44.92672395706177,0.0003
8711769,836,0.22409220039844513,0.8125,0.8742,45.92797565460205,0.0003
8911684,855,0.26603177189826965,0.875,0.8742,46.94287943840027,0.0003
9111220,874,0.42113420367240906,0.875,0.8764,47.93438696861267,0.0003
9305458,893,0.11428429186344147,0.9375,0.8716,48.9132194519043,0.0003
9505201,912,0.2173154056072235,0.90625,0.8648,49.97146272659302,0.0003
9700548,931,0.3667958080768585,0.75,0.8254,51.34253644943237,0.0003
9903087,950,0.13312079012393951,0.9375,0.8668,52.605854511260986,0.0003
