seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
311272,19,0.7143124341964722,0.375,0.4554,0.18093538284301758,0.00012127659574468084
622510,38,0.7043119072914124,0.4375,0.4554,1.8045589923858643,0.00024255319148936167
933805,57,0.7149999141693115,0.4375,0.4554,3.517920970916748,0.0003
1245070,76,0.6423434019088745,0.71875,0.5446,5.316199541091919,0.0003
1556350,95,0.7105426788330078,0.375,0.4554,7.267041921615601,0.0003
1867631,114,0.6706559658050537,0.59375,0.5566,9.088062524795532,0.0003
2178893,133,0.7067655920982361,0.40625,0.5828,10.854804039001465,0.0003
2490183,152,0.649138867855072,0.71875,0.571,12.585655927658081,0.0003
2801479,171,0.6344900131225586,0.5625,0.6144,13.697115898132324,0.0003
3112775,190,0.6397700309753418,0.59375,0.6184,14.288566827774048,0.0003
3424071,209,0.6026708483695984,0.65625,0.611,14.878011226654053,0.0003
3735360,228,0.6482686400413513,0.5625,0.5366,15.467487573623657,0.0003
4046591,247,0.6382104158401489,0.625,0.5614,16.478142499923706,0.0003
4357887,266,0.5640421509742737,0.75,0.6256,17.60072350502014,0.0003
4669179,285,0.7311887145042419,0.46875,0.6132,18.756759881973267,0.0003
4980448,304,0.6192323565483093,0.59375,0.6176,19.857028245925903,0.0003
5291678,323,0.5423455238342285,0.75,0.6396,21.015388011932373,0.0003
5602974,342,0.6451330184936523,0.65625,0.6442,22.1293523311615,0.0003
5914270,361,0.579599916934967,0.625,0.6246,23.25086736679077,0.0003
6225522,380,0.6008961796760559,0.71875,0.6338,24.325020790100098,0.0003
6536775,399,0.5820879340171814,0.625,0.635,25.472384691238403,0.0003
6847987,418,0.5723901987075806,0.6875,0.6578,26.57779288291931,0.0003
7159283,437,0.6801725625991821,0.65625,0.6612,27.700101137161255,0.0003
7470579,456,0.5629678964614868,0.78125,0.6488,28.829359531402588,0.0003
7781875,475,0.615970253944397,0.65625,0.671,29.964311361312866,0.0003
8093122,494,0.5758771896362305,0.6875,0.6746,31.07934308052063,0.0003
8404418,513,0.5776074528694153,0.6875,0.6812,32.14406204223633,0.0003
8715611,532,0.4965696930885315,0.71875,0.6626,33.29129934310913,0.0003
9026893,551,0.5340770483016968,0.71875,0.673,34.549858808517456,0.0003
9338151,570,0.6149111986160278,0.5625,0.6744,35.92246866226196,0.0003
9649447,589,0.593709409236908,0.46875,0.6724,37.25409483909607,0.0003
9960731,608,0.47961822152137756,0.75,0.6742,38.595325231552124,0.0003
10271933,627,0.44274526834487915,0.84375,0.6766,39.90411925315857,0.0003
10583229,646,0.4977579116821289,0.625,0.6784,41.06765627861023,0.0003
10894525,665,0.522631049156189,0.71875,0.6838,41.66940355300903,0.0003
11205821,684,0.45055243372917175,0.6875,0.6784,42.751725912094116,0.0003
11517117,703,0.6754600405693054,0.3125,0.6596,44.09830284118652,0.0003
11828413,722,0.5560538172721863,0.78125,0.6512,45.43043398857117,0.0003
12139709,741,0.5016394853591919,0.71875,0.6782,46.77863621711731,0.0003
12450908,760,0.5471494197845459,0.6875,0.6804,48.15489315986633,0.0003
12762196,779,0.4500357210636139,0.71875,0.6794,49.491791009902954,0.0003
13073384,798,0.40601012110710144,0.8125,0.6896,50.86223554611206,0.0003
13384628,817,0.5826841592788696,0.625,0.6832,52.230610847473145,0.0003
13695920,836,0.5310885310173035,0.6875,0.6872,53.60113000869751,0.0003
14007174,855,0.46379420161247253,0.75,0.6872,54.956830978393555,0.0003
14318436,874,0.5134191513061523,0.625,0.6864,56.31783390045166,0.0003
14629653,893,0.549376904964447,0.53125,0.684,57.655505418777466,0.0003
14940876,912,0.5355290770530701,0.5625,0.6814,58.996124505996704,0.0003
15252155,931,0.4546651542186737,0.75,0.6734,60.365832567214966,0.0003
15563451,950,0.4476540982723236,0.71875,0.6796,61.70719289779663,0.0003
