seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
132915,19,0.6530729532241821,0.65625,0.6264,0.22922801971435547,0.00012127659574468084
263688,38,0.5918307900428772,0.65625,0.6218,1.2066154479980469,0.00024255319148936167
395249,57,0.6235039234161377,0.625,0.6548,2.5231239795684814,0.0003
529215,76,0.8030977249145508,0.59375,0.701,3.8009285926818848,0.0003
661279,95,0.419101357460022,0.90625,0.7482,4.863919973373413,0.0003
798605,114,0.5776081085205078,0.71875,0.7714,5.81246018409729,0.0003
933067,133,0.6088773608207703,0.6875,0.7644,6.748527526855469,0.0003
1063963,152,0.36354199051856995,0.84375,0.7886,7.702167510986328,0.0003
1198830,171,0.438067227602005,0.71875,0.7768,8.637523651123047,0.0003
1333156,190,0.3343316614627838,0.9375,0.8306,9.585185766220093,0.0003
1467578,209,0.29069051146507263,0.875,0.8544,10.51294493675232,0.0003
1601949,228,0.4396148920059204,0.75,0.8404,11.450891017913818,0.0003
1734402,247,0.23637957870960236,0.90625,0.8488,12.402227878570557,0.0003
1865516,266,0.33905938267707825,0.875,0.821,13.340161800384521,0.0003
1995461,285,0.3170430660247803,0.90625,0.8546,14.278541803359985,0.0003
2130545,304,0.3055570125579834,0.875,0.8632,15.253601312637329,0.0003
2263806,323,0.23688703775405884,0.90625,0.8658,16.289811849594116,0.0003
2390811,342,0.21922363340854645,0.90625,0.8642,17.643649578094482,0.0003
2525108,361,0.19225454330444336,0.9375,0.8736,18.80251669883728,0.0003
2659865,380,0.19177132844924927,0.90625,0.8846,19.853111028671265,0.0003
2788531,399,0.24506641924381256,0.90625,0.8818,20.839229345321655,0.0003
2923186,418,0.4240191578865051,0.875,0.877,21.794766902923584,0.0003
3051047,437,0.28492438793182373,0.84375,0.8914,22.77753520011902,0.0003
3185174,456,0.28969043493270874,0.84375,0.8808,23.655454397201538,0.0003
3318671,475,0.15706093609333038,0.9375,0.8674,24.606343746185303,0.0003
3448562,494,0.083826445043087,0.96875,0.892,25.571499586105347,0.0003
3583796,513,0.3175254464149475,0.8125,0.8762,26.52359390258789,0.0003
3715104,532,0.30153653025627136,0.9375,0.8862,27.47179937362671,0.0003
3851576,551,0.4480877220630646,0.78125,0.8964,28.460816144943237,0.0003
3986254,570,0.16554205119609833,0.9375,0.8894,29.404542446136475,0.0003
4118260,589,0.2794719934463501,0.84375,0.8994,30.656262636184692,0.0003
4252327,608,0.16832631826400757,0.9375,0.8968,31.915032386779785,0.0003
4383087,627,0.20129771530628204,0.9375,0.892,33.05580377578735,0.0003
4513526,646,0.1812826693058014,0.9375,0.9018,34.05634069442749,0.0003
4643274,665,0.23914052546024323,0.90625,0.8998,34.98991107940674,0.0003
4775704,684,0.31346559524536133,0.84375,0.899,35.92265772819519,0.0003
4906836,703,0.31179478764533997,0.8125,0.902,36.84227180480957,0.0003
5041122,722,0.23833417892456055,0.875,0.8972,37.80176043510437,0.0003
5177364,741,0.30438876152038574,0.8125,0.9008,38.74959874153137,0.0003
5316196,760,0.16841667890548706,0.96875,0.9008,39.69923520088196,0.0003
5446364,779,0.12316297739744186,0.96875,0.9042,40.66129398345947,0.0003
5580757,798,0.09525234997272491,0.9375,0.9066,41.609968185424805,0.0003
5716737,817,0.21411235630512238,0.90625,0.9026,42.55314636230469,0.0003
5846772,836,0.0967123731970787,0.9375,0.9016,43.53869557380676,0.0003
5975580,855,0.05954541265964508,1.0,0.9032,44.47669458389282,0.0003
6104816,874,0.3873691260814667,0.90625,0.9024,45.61409068107605,0.0003
6239328,893,0.26521843671798706,0.84375,0.8926,46.92883563041687,0.0003
6373352,912,0.17647649347782135,0.875,0.9088,48.11789393424988,0.0003
6505652,931,0.28843963146209717,0.90625,0.8876,49.13543891906738,0.0003
6633706,950,0.2310846894979477,0.875,0.8768,50.100991010665894,0.0003
