seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
239926,19,0.7031857371330261,0.53125,0.5446,0.301969051361084,0.00012127659574468084
482064,38,0.6758491396903992,0.59375,0.595,1.4117228984832764,0.00024255319148936167
723479,57,0.6748184561729431,0.59375,0.6092,2.3973395824432373,0.0003
965029,76,0.568608820438385,0.75,0.6006,3.405730724334717,0.0003
1210491,95,0.6887063384056091,0.59375,0.672,4.37378716468811,0.0003
1452370,114,0.6436882615089417,0.65625,0.6976,5.326874732971191,0.0003
1696666,133,0.636103093624115,0.65625,0.7022,6.315881729125977,0.0003
1935929,152,0.5591509938240051,0.6875,0.7064,7.280064105987549,0.0003
2178019,171,0.5710329413414001,0.6875,0.715,8.276400566101074,0.0003
2421717,190,0.3375849425792694,0.84375,0.6968,9.270990133285522,0.0003
2661777,209,0.5943080186843872,0.6875,0.7244,10.260025262832642,0.0003
2901508,228,0.540183961391449,0.6875,0.7368,11.28139042854309,0.0003
3143507,247,0.4389837384223938,0.8125,0.7458,12.290090084075928,0.0003
3385790,266,0.45697304606437683,0.8125,0.7598,13.345841884613037,0.0003
3627822,285,0.3948171138763428,0.875,0.75,14.878560066223145,0.0003
3867324,304,0.3644307553768158,0.84375,0.7542,16.004770040512085,0.0003
4109678,323,0.5047590136528015,0.65625,0.6924,17.047184944152832,0.0003
4349095,342,0.47010567784309387,0.75,0.7474,18.036998748779297,0.0003
4593241,361,0.5990523099899292,0.625,0.7614,19.0426504611969,0.0003
4833153,380,0.4426029622554779,0.78125,0.7688,20.033574104309082,0.0003
5076798,399,0.5737854242324829,0.625,0.7706,21.02052927017212,0.0003
5316396,418,0.38225287199020386,0.84375,0.7718,22.04136562347412,0.0003
5559224,437,0.4915742576122284,0.6875,0.7512,23.060905933380127,0.0003
5800248,456,0.35290467739105225,0.8125,0.7658,24.523643255233765,0.0003
6042472,475,0.567552387714386,0.5625,0.7808,25.854037046432495,0.0003
6284126,494,0.3321230113506317,0.875,0.7818,27.013145208358765,0.0003
6525594,513,0.3583482503890991,0.8125,0.78,27.998823165893555,0.0003
6764268,532,0.5588802099227905,0.78125,0.763,28.981627941131592,0.0003
7003795,551,0.4894583225250244,0.71875,0.7804,29.982298135757446,0.0003
7242623,570,0.4437550902366638,0.75,0.7888,30.96924114227295,0.0003
7482550,589,0.3945589065551758,0.875,0.7898,31.929766178131104,0.0003
7723378,608,0.4693911671638489,0.75,0.7608,32.9109833240509,0.0003
7963301,627,0.44919174909591675,0.78125,0.7546,33.90039086341858,0.0003
8202262,646,0.4672852158546448,0.8125,0.7966,34.89002847671509,0.0003
8444907,665,0.42386767268180847,0.8125,0.7892,35.904536485672,0.0003
8685343,684,0.566526472568512,0.78125,0.8014,36.868595600128174,0.0003
8925725,703,0.3813604712486267,0.8125,0.814,37.95153737068176,0.0003
9167665,722,0.3590845465660095,0.84375,0.7728,39.27130603790283,0.0003
9409456,741,0.38345736265182495,0.78125,0.8062,40.68564224243164,0.0003
9649106,760,0.34919098019599915,0.90625,0.814,41.731853008270264,0.0003
9892237,779,0.2670653164386749,0.90625,0.8212,42.719679832458496,0.0003
10134849,798,0.21721778810024261,0.90625,0.8222,43.657687187194824,0.0003
10375515,817,0.267771452665329,0.875,0.826,44.62763690948486,0.0003
10618351,836,0.3497160077095032,0.78125,0.8056,45.682207107543945,0.0003
10858068,855,0.4016982913017273,0.75,0.8204,46.68647742271423,0.0003
11100159,874,0.39289525151252747,0.8125,0.8032,47.689650774002075,0.0003
11341605,893,0.42289698123931885,0.78125,0.8234,48.70194482803345,0.0003
11582138,912,0.407667338848114,0.71875,0.8298,49.693978786468506,0.0003
11820667,931,0.3144474923610687,0.8125,0.823,50.69413137435913,0.0003
12061036,950,0.2857831120491028,0.96875,0.8358,51.74718141555786,0.0003
