seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
201039,19,0.729304313659668,0.46875,0.5446,0.16850543022155762,0.00012127659574468084
401799,38,0.668039858341217,0.5625,0.5872,1.7725234031677246,0.00024255319148936167
602020,57,0.6273647546768188,0.59375,0.6198,3.414935350418091,0.0003
801248,76,0.5838228464126587,0.65625,0.6736,5.301340341567993,0.0003
1002195,95,0.5051298141479492,0.78125,0.6976,7.048297166824341,0.0003
1200998,114,0.5239617228507996,0.6875,0.7036,8.634815692901611,0.0003
1401302,133,0.4009268283843994,0.8125,0.7086,10.417983055114746,0.0003
1599160,152,0.49246087670326233,0.75,0.753,12.107935905456543,0.0003
1799661,171,0.450424462556839,0.8125,0.7556,13.723570108413696,0.0003
2000188,190,0.4790549874305725,0.71875,0.7468,15.474245548248291,0.0003
2199445,209,0.4418046772480011,0.78125,0.7696,17.172840118408203,0.0003
2393238,228,0.48681288957595825,0.75,0.7556,18.721116304397583,0.0003
2594311,247,0.4818369746208191,0.65625,0.7892,20.446979761123657,0.0003
2791999,266,0.3911731243133545,0.84375,0.7334,22.224842071533203,0.0003
2988525,285,0.47342589497566223,0.75,0.7884,23.926659107208252,0.0003
3185260,304,0.3835296630859375,0.84375,0.8076,25.68721842765808,0.0003
3383024,323,0.6310485005378723,0.5,0.8112,27.290696620941162,0.0003
3579378,342,0.5079584717750549,0.78125,0.7934,28.90184712409973,0.0003
3777042,361,0.4623778760433197,0.8125,0.7962,30.38486099243164,0.0003
3977121,380,0.4077087938785553,0.8125,0.8168,32.057496309280396,0.0003
4175098,399,0.2919362485408783,0.875,0.8186,32.68422293663025,0.0003
4372686,418,0.2352423518896103,0.875,0.828,33.29900240898132,0.0003
4572677,437,0.4486439824104309,0.78125,0.8306,33.87434458732605,0.0003
4767318,456,0.4005550146102905,0.75,0.8186,34.52205443382263,0.0003
4966926,475,0.2706911265850067,0.90625,0.8332,35.18159604072571,0.0003
5165933,494,0.21016669273376465,0.96875,0.8234,36.34370422363281,0.0003
5364689,513,0.4179679751396179,0.75,0.8132,37.4517502784729,0.0003
5564591,532,0.2653397023677826,0.9375,0.8412,38.47581601142883,0.0003
5760537,551,0.21859581768512726,0.9375,0.8426,39.51731300354004,0.0003
5963009,570,0.3982374668121338,0.71875,0.8508,40.57824230194092,0.0003
6161487,589,0.27688857913017273,0.84375,0.7854,41.647022008895874,0.0003
6361486,608,0.4195386469364166,0.8125,0.7718,42.73366379737854,0.0003
6565043,627,0.2996324896812439,0.8125,0.8484,43.78303146362305,0.0003
6764562,646,0.4552815854549408,0.8125,0.8514,44.85433006286621,0.0003
6963381,665,0.4441249668598175,0.75,0.8544,45.92843985557556,0.0003
7160588,684,0.1500377506017685,0.90625,0.8598,47.02665901184082,0.0003
7361865,703,0.40307167172431946,0.78125,0.8498,48.09295392036438,0.0003
7560610,722,0.30041807889938354,0.8125,0.8344,49.171735763549805,0.0003
7760372,741,0.34145545959472656,0.84375,0.8484,50.20823907852173,0.0003
7965662,760,0.31787118315696716,0.78125,0.858,51.28455424308777,0.0003
8163230,779,0.21291986107826233,0.90625,0.87,52.38138675689697,0.0003
8362595,798,0.2673519551753998,0.875,0.8724,53.435832500457764,0.0003
8560109,817,0.3140496611595154,0.84375,0.8778,54.70177435874939,0.0003
8761329,836,0.25457268953323364,0.90625,0.8828,56.0246467590332,0.0003
8962857,855,0.22628533840179443,0.875,0.8904,57.352107763290405,0.0003
9162534,874,0.250262588262558,0.84375,0.878,58.681514263153076,0.0003
9357850,893,0.33427101373672485,0.875,0.8594,59.99223065376282,0.0003
9555290,912,0.2087293565273285,0.90625,0.8956,61.17495560646057,0.0003
9750479,931,0.11891058087348938,0.96875,0.8868,61.75173568725586,0.0003
9948339,950,0.29249149560928345,0.84375,0.9028,62.51137113571167,0.0003
