dataset,model,tokenizer,budget_mode,acc,drift_acc,avg_len,p95_len,n_params,params_m,vocab,max_len,total_tokens,total_steps,majority_train_frac,majority_test_acc,seed
csic2010,tiny,BPE,step_fair,0.849,0.4662,327.2294,514,724738,0.724738,2048,512,10000000,959,0.54165,0.5576,0
csic2010,tiny,WordPiece,step_fair,0.896,0.4972,329.449,526,724738,0.724738,2048,512,10000000,959,0.54165,0.5576,0
csic2010,tiny,Unigram,step_fair,0.818,0.8154,406.3974,595,724738,0.724738,2048,512,10000000,959,0.54165,0.5576,0
csic2010,tiny,Bytes,step_fair,0.6862,0.4426,785.3036,1059,724738,0.724738,2048,512,10000000,959,0.54165,0.5576,0
csic2010,tiny,CIT,step_fair,0.8872,0.8872,216.9894,416,724738,0.724738,2048,512,10000000,959,0.54165,0.5576,0
csic2010,small,BPE,step_fair,0.9074,0.5048,327.2294,514,3815426,3.815426,2048,512,10000000,959,0.54165,0.5576,0
csic2010,small,WordPiece,step_fair,0.9154,0.4752,329.449,526,3815426,3.815426,2048,512,10000000,959,0.54165,0.5576,0
csic2010,small,Unigram,step_fair,0.8718,0.8712,406.3974,595,3815426,3.815426,2048,512,10000000,959,0.54165,0.5576,0
csic2010,small,Bytes,step_fair,0.6888,0.4424,785.3036,1059,3815426,3.815426,2048,512,10000000,959,0.54165,0.5576,0
csic2010,small,CIT,step_fair,0.9056,0.9056,216.9894,416,3815426,3.815426,2048,512,10000000,959,0.54165,0.5576,0
