token_id,count,best_label,purity
106,1338,5,0.24813153961136025
109,1299,0,0.23710546574287913
104,1369,7,0.2366691015339664
107,1331,8,0.2231404958677686
110,1288,6,0.2204968944099379
105,1358,3,0.21796759941089838
108,1322,9,0.21482602118003025
111,1279,4,0.21344800625488664
112,1278,2,0.2081377151799687
1687,408,10,0.09803921568627451
1158,570,5,0.09649122807017543
1497,502,5,0.09561752988047809
1793,378,5,0.09523809523809523
2002,318,18,0.09433962264150944
1876,354,5,0.09322033898305085
1722,398,11,0.09296482412060302
1929,335,18,0.09253731343283582
2000,318,19,0.09119496855345911
1658,417,7,0.09112709832134293
1993,319,7,0.09090909090909091
1860,358,17,0.0893854748603352
1999,315,9,0.08888888888888889
1933,338,8,0.08875739644970414
1932,338,10,0.08875739644970414
1924,341,1,0.08797653958944282
1527,489,18,0.08793456032719836
1542,478,18,0.08786610878661087
1660,410,12,0.08780487804878048
1805,376,12,0.08776595744680851
1911,345,11,0.08695652173913043
2021,311,5,0.08681672025723473
1184,565,18,0.08672566371681416
1477,508,18,0.08661417322834646
103,3799,11,0.08660173729928929
2017,312,18,0.08653846153846154
1370,532,7,0.08646616541353383
2014,313,18,0.08626198083067092
1223,557,16,0.08617594254937164
1414,523,11,0.08604206500956023
2012,314,13,0.08598726114649681
1771,384,7,0.0859375
1973,326,17,0.08588957055214724
1349,536,7,0.08582089552238806
2008,315,9,0.08571428571428572
1928,339,18,0.0855457227138643
1844,363,13,0.08539944903581267
1842,364,18,0.08516483516483517
1864,353,1,0.08498583569405099
2042,306,17,0.08496732026143791
1677,412,14,0.08495145631067962
