token_id,count,best_label,purity
129,279,11,1.0
130,277,18,1.0
131,273,7,1.0
132,268,5,1.0
133,256,14,1.0
134,255,10,1.0
136,254,0,1.0
137,253,8,1.0
138,252,12,1.0
139,252,19,1.0
140,252,13,1.0
128,248,1,1.0
141,245,17,1.0
142,242,3,1.0
143,239,16,1.0
144,239,9,1.0
145,238,6,1.0
146,236,15,1.0
147,227,4,1.0
148,215,2,1.0
9,100000,11,0.0558
6,95000,11,0.0558
8,95000,11,0.0558
7,5000,11,0.0558
75,5000,11,0.0558
56,5000,11,0.0558
76,5000,11,0.0558
77,5000,11,0.0558
78,5000,11,0.0558
79,5000,11,0.0558
80,5000,11,0.0558
81,5000,11,0.0558
82,5000,11,0.0558
83,5000,11,0.0558
90,5000,11,0.0558
119,5000,11,0.0558
120,5000,11,0.0558
121,5000,11,0.0558
122,5000,11,0.0558
123,5000,11,0.0558
124,5000,11,0.0558
125,5000,11,0.0558
126,5000,11,0.0558
127,5000,11,0.0558
5,5000,11,0.0558
