token_id,count,best_label,purity
166,2814,11,0.09950248756218906
36,3721,7,0.09647944101048106
1352,626,11,0.09584664536741214
475,684,11,0.09064327485380116
1648,569,11,0.08963093145869948
1677,603,11,0.08955223880597014
1342,638,14,0.08934169278996865
1976,406,11,0.08866995073891626
1450,565,3,0.08849557522123894
1965,499,5,0.08617234468937876
1382,631,5,0.08557844690966719
1752,576,11,0.08506944444444445
1721,548,18,0.08394160583941605
1581,550,6,0.08363636363636363
1489,551,11,0.08348457350272233
1668,612,11,0.08333333333333333
1488,493,18,0.08316430020283976
1067,614,5,0.08306188925081433
350,700,14,0.08285714285714285
637,750,5,0.08266666666666667
1534,595,11,0.08235294117647059
2001,439,18,0.08200455580865604
1983,501,13,0.08183632734530938
673,700,18,0.08142857142857143
2032,492,18,0.08130081300813008
1993,579,7,0.08117443868739206
2030,419,0,0.081145584725537
1855,456,3,0.08114035087719298
1850,458,11,0.08078602620087336
1532,842,5,0.08076009501187649
1834,572,5,0.08041958041958042
245,995,11,0.08040201005025126
1284,523,13,0.08030592734225621
1160,651,11,0.07987711213517665
1860,551,10,0.07985480943738657
1087,753,0,0.0796812749003984
977,992,18,0.07963709677419355
1658,515,5,0.07961165048543689
1806,754,17,0.07957559681697612
1318,553,5,0.07956600361663653
1407,528,11,0.07954545454545454
1476,503,18,0.07952286282306163
1276,567,11,0.07936507936507936
765,656,1,0.07926829268292683
1275,606,11,0.07920792079207921
1154,606,18,0.07920792079207921
1892,556,8,0.07913669064748201
1840,531,11,0.07909604519774012
1856,531,5,0.07909604519774012
831,823,7,0.07897934386391252
