seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
210166,20,0.8175110220909119,0.34375,0.4554,1.0776407718658447,0.00012609959999999997
418999,40,0.6224032640457153,0.59375,0.625,4.845452547073364,0.0002513994
626002,60,0.8744804263114929,0.53125,0.6826,8.538490772247314,0.0003
836710,80,0.5038741230964661,0.6875,0.736,12.235894918441772,0.0003
1046574,100,0.6350153088569641,0.8125,0.752,15.96173620223999,0.0003
1249247,120,0.4817914366722107,0.8125,0.7784,19.59893774986267,0.0003
1456616,140,0.27458345890045166,0.875,0.7476,23.343401432037354,0.0003
1664866,160,0.4021044671535492,0.8125,0.767,27.094290018081665,0.0003
1865708,179,0.4843660593032837,0.71875,0.7876,30.734461069107056,0.0003
2072391,199,0.5524428486824036,0.71875,0.78,34.41011452674866,0.0003
2280870,219,0.2182619273662567,0.9375,0.797,38.135688066482544,0.0003
2488593,239,0.3743152618408203,0.8125,0.7972,41.832298040390015,0.0003
2696720,259,0.42860010266304016,0.75,0.8004,45.52403378486633,0.0003
2897598,278,0.39400163292884827,0.84375,0.8066,49.16754102706909,0.0003
3106173,298,0.49665334820747375,0.71875,0.8106,52.89188623428345,0.0003
3316489,318,0.3627466559410095,0.71875,0.805,56.5552921295166,0.0003
3526202,338,0.3849303424358368,0.8125,0.82,60.23001527786255,0.0003
3736061,358,0.37973394989967346,0.875,0.8214,63.914750814437866,0.0003
3941806,378,0.43692559003829956,0.78125,0.8488,67.62012887001038,0.0003
4149561,398,0.41832444071769714,0.75,0.7854,71.33505964279175,0.0003
4354673,418,0.33906346559524536,0.8125,0.8276,75.04856991767883,0.0003
4561848,438,0.22952158749103546,0.90625,0.8608,78.71404075622559,0.0003
4770650,458,0.17991168797016144,0.90625,0.8678,82.40359950065613,0.0003
4971698,477,0.17897741496562958,0.9375,0.8706,86.05038619041443,0.0003
5174946,497,0.28626585006713867,0.8125,0.873,89.71619462966919,0.0003
5375735,516,0.24352462589740753,0.90625,0.8746,93.36972832679749,0.0003
5581777,536,0.3644232451915741,0.84375,0.8836,97.07746362686157,0.0003
5783444,555,0.2781391143798828,0.875,0.8844,100.77505993843079,0.0003
5990762,575,0.28389596939086914,0.84375,0.8608,104.51530838012695,0.0003
6198808,595,0.23200054466724396,0.84375,0.8568,108.21450638771057,0.0003
6400517,614,0.2620461881160736,0.84375,0.8692,111.92159867286682,0.0003
6607646,634,0.09617430716753006,0.9375,0.8808,115.61656165122986,0.0003
6815119,654,0.0941382572054863,1.0,0.8612,119.31078577041626,0.0003
7020273,674,0.22293899953365326,0.9375,0.8822,123.02140760421753,0.0003
7222091,693,0.26013919711112976,0.84375,0.8822,126.70999479293823,0.0003
7430988,713,0.09594260901212692,0.96875,0.8898,130.3942515850067,0.0003
7639103,733,0.39306023716926575,0.78125,0.8944,134.10133051872253,0.0003
7847647,753,0.43622371554374695,0.6875,0.8936,137.82970309257507,0.0003
8047917,772,0.2507316470146179,0.875,0.9022,141.518874168396,0.0003
8254715,792,0.13280141353607178,0.9375,0.889,145.24054050445557,0.0003
8457483,811,0.16018524765968323,0.9375,0.8956,148.8656129837036,0.0003
8666573,831,0.19675086438655853,0.875,0.8912,152.61382842063904,0.0003
8869913,851,0.13704614341259003,0.9375,0.8982,156.4058539867401,0.0003
9077006,871,0.14792078733444214,0.9375,0.9036,160.14405035972595,0.0003
9286285,891,0.23448708653450012,0.875,0.9052,163.83875060081482,0.0003
9497233,911,0.27966275811195374,0.84375,0.908,167.5483684539795,0.0003
9697370,930,0.20821785926818848,0.875,0.91,171.18131923675537,0.0003
9904588,950,0.1736508160829544,0.9375,0.9098,174.8674099445343,0.0003
