seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
212992,13,0.7448055148124695,0.25,0.5734,0.6950478553771973,0.00012779519999999998
425969,26,0.745968759059906,0.5,0.5446,4.07404351234436,0.0002555814
638957,39,0.5926042199134827,0.75,0.5446,7.480382680892944,0.0003
851949,52,0.6830154061317444,0.59375,0.5692,10.822298288345337,0.0003
1064941,65,0.680411696434021,0.5625,0.572,14.676904916763306,0.0003
1277933,78,0.7582009434700012,0.4375,0.5526,18.262836933135986,0.0003
1490887,91,0.7549442648887634,0.53125,0.5446,21.619508743286133,0.0003
1703879,104,0.7073125243186951,0.46875,0.4874,25.00748372077942,0.0003
1916828,117,0.6416353583335876,0.6875,0.5764,28.647621393203735,0.0003
2129820,130,0.6297594308853149,0.59375,0.5788,32.338677644729614,0.0003
2342812,143,0.7055256366729736,0.46875,0.6088,35.66632652282715,0.0003
2555804,156,0.5371112823486328,0.78125,0.6334,39.03246808052063,0.0003
2768796,169,0.5776439309120178,0.71875,0.6476,42.38893222808838,0.0003
2981745,182,0.6792583465576172,0.59375,0.6494,46.46636414527893,0.0003
3194695,195,0.5713693499565125,0.6875,0.6388,49.92635774612427,0.0003
3407650,208,0.583999514579773,0.5625,0.6188,53.28817391395569,0.0003
3620642,221,0.5491862297058105,0.78125,0.6552,56.653627157211304,0.0003
3833586,234,0.6476573944091797,0.59375,0.6624,60.313708543777466,0.0003
4046578,247,0.6385466456413269,0.59375,0.6662,63.970776081085205,0.0003
4259558,260,0.5716192126274109,0.8125,0.6188,67.34914517402649,0.0003
4472480,273,0.5724185109138489,0.625,0.6746,70.72781276702881,0.0003
4685453,286,0.5044152140617371,0.6875,0.672,74.11203861236572,0.0003
4898445,299,0.5759001970291138,0.65625,0.6734,78.21429347991943,0.0003
5111420,312,0.4134664833545685,0.78125,0.6674,81.63558006286621,0.0003
5324382,325,0.5780753493309021,0.625,0.6824,85.0104615688324,0.0003
5537315,338,0.6222948431968689,0.625,0.6884,88.39647483825684,0.0003
5750297,351,0.5192725658416748,0.75,0.6866,92.151043176651,0.0003
5963289,364,0.6474413275718689,0.71875,0.687,95.73940467834473,0.0003
6176221,377,0.5094515085220337,0.71875,0.6742,99.0899076461792,0.0003
6389213,390,0.5328742265701294,0.6875,0.6872,102.46022605895996,0.0003
6602205,403,0.531285285949707,0.75,0.686,105.81960320472717,0.0003
6815191,416,0.6069819331169128,0.625,0.686,109.96691727638245,0.0003
7028127,429,0.4828817546367645,0.75,0.678,113.41318678855896,0.0003
7241119,442,0.5993061661720276,0.5625,0.682,116.77977705001831,0.0003
7454111,455,0.5108008980751038,0.59375,0.6854,120.1366183757782,0.0003
7667103,468,0.5292206406593323,0.6875,0.6884,123.99835324287415,0.0003
7880046,481,0.5774244070053101,0.65625,0.6786,127.52440047264099,0.0003
8093037,494,0.543515682220459,0.6875,0.688,130.88226962089539,0.0003
8306005,507,0.6650015711784363,0.46875,0.6896,134.2545201778412,0.0003
8518997,520,0.5224188566207886,0.6875,0.6902,137.65444087982178,0.0003
8731983,533,0.5694546103477478,0.65625,0.6814,141.67788696289062,0.0003
8944923,546,0.3887694776058197,0.8125,0.6894,145.05397605895996,0.0003
9157915,559,0.4424225986003876,0.8125,0.6908,148.41647481918335,0.0003
9370907,572,0.5551020503044128,0.71875,0.69,151.80952978134155,0.0003
9583868,585,0.6565243005752563,0.53125,0.6896,155.56097507476807,0.0003
9796860,598,0.42852991819381714,0.78125,0.6898,159.11141443252563,0.0003
10009789,611,0.5882066488265991,0.59375,0.6906,162.40708780288696,0.0003
