seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
206082,29,0.5493601560592651,0.65625,0.6538,1.8874719142913818,0.0001236492
409575,58,0.7426621913909912,0.5625,0.4684,7.018679141998291,0.000245745
614751,87,0.32896488904953003,0.9375,0.754,12.169935941696167,0.0003
815980,116,0.18685461580753326,0.875,0.839,17.312238693237305,0.0003
1021389,146,0.5322498679161072,0.71875,0.8578,22.467376708984375,0.0003
1227239,175,0.3565033972263336,0.8125,0.875,27.640239715576172,0.0003
1433674,204,0.24472026526927948,0.875,0.8286,32.73227000236511,0.0003
1639283,234,0.2692471742630005,0.90625,0.8762,36.91111087799072,0.0003
1845247,264,0.37470343708992004,0.8125,0.889,40.33745002746582,0.0003
2048126,293,0.26708024740219116,0.90625,0.8972,43.96489405632019,0.0003
2254007,322,0.18379336595535278,0.90625,0.9076,47.73915481567383,0.0003
2458339,352,0.3378760814666748,0.78125,0.904,51.1795973777771,0.0003
2660645,381,0.3136346638202667,0.90625,0.8914,54.686814069747925,0.0003
2864192,410,0.29372066259384155,0.84375,0.9096,58.26066780090332,0.0003
3064223,439,0.2582537829875946,0.875,0.9078,61.820268630981445,0.0003
3265852,467,0.15320567786693573,0.9375,0.894,65.35376858711243,0.0003
3468723,496,0.2813279330730438,0.84375,0.9078,68.22302007675171,0.0003
3674199,526,0.2198115438222885,0.84375,0.8956,71.75293827056885,0.0003
3878401,555,0.2568119466304779,0.875,0.908,75.60241389274597,0.0003
4080650,584,0.11108759790658951,0.96875,0.9188,79.50124430656433,0.0003
4287268,613,0.337027907371521,0.78125,0.9152,83.32223558425903,0.0003
4491804,642,0.15843163430690765,0.9375,0.916,87.08096528053284,0.0003
4696745,672,0.15570208430290222,0.9375,0.9094,90.8227891921997,0.0003
4900491,702,0.09117918461561203,0.9375,0.893,94.66399884223938,0.0003
5107079,731,0.23932360112667084,0.84375,0.9124,99.68956422805786,0.0003
5308773,760,0.07657581567764282,0.96875,0.9102,104.26709938049316,0.0003
5513545,788,0.22626526653766632,0.90625,0.896,108.48345851898193,0.0003
5720191,817,0.12244495749473572,0.96875,0.9022,113.67385625839233,0.0003
5923713,846,0.13800223171710968,0.96875,0.9158,118.83512997627258,0.0003
6124393,874,0.30762436985969543,0.78125,0.9118,123.88086318969727,0.0003
6324430,903,0.1373472958803177,0.9375,0.911,129.01359009742737,0.0003
6528167,933,0.20270846784114838,0.9375,0.9132,134.13886046409607,0.0003
6731936,962,0.2505519688129425,0.84375,0.9184,139.27378916740417,0.0003
6935111,991,0.06470730900764465,0.96875,0.9142,144.35307669639587,0.0003
7138062,1020,0.15234312415122986,0.90625,0.914,149.51529026031494,0.0003
7345009,1049,0.4530564248561859,0.84375,0.9158,154.6221423149109,0.0003
7545966,1078,0.11586364358663559,0.96875,0.92,159.37304162979126,0.0003
7750737,1107,0.1508186012506485,0.9375,0.9182,162.94179892539978,0.0003
7954372,1136,0.28020361065864563,0.84375,0.9164,166.5342493057251,0.0003
8157680,1166,0.19668395817279816,0.84375,0.9114,170.0741424560547,0.0003
8359235,1195,0.13239997625350952,0.90625,0.9166,173.28707337379456,0.0003
8560785,1224,0.08894266933202744,0.96875,0.917,176.8268699645996,0.0003
8761756,1253,0.2211759388446808,0.84375,0.9176,180.43371868133545,0.0003
8966576,1282,0.29470422863960266,0.84375,0.917,183.9122188091278,0.0003
9166886,1311,0.06691070646047592,1.0,0.9178,187.38271403312683,0.0003
9367001,1340,0.24086017906665802,0.875,0.9216,190.69809865951538,0.0003
9570712,1369,0.0718812644481659,0.96875,0.9196,193.22319889068604,0.0003
9772939,1397,0.07693375647068024,0.96875,0.9202,196.79359436035156,0.0003
9977682,1426,0.05812637135386467,0.96875,0.9232,200.56742000579834,0.0003
