seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
203389,16,0.6647577285766602,0.5,0.6154,1.106480360031128,0.00012203339999999998
408301,32,0.6309457421302795,0.65625,0.6398,5.698755502700806,0.0002449806
612454,48,1.0644391775131226,0.40625,0.4556,10.268449068069458,0.0003
814584,64,0.5642403960227966,0.75,0.71,14.813775777816772,0.0003
1019376,80,0.5821623206138611,0.6875,0.7106,19.36622452735901,0.0003
1224279,96,0.6341050267219543,0.59375,0.7112,23.932234525680542,0.0003
1427081,112,0.5059366822242737,0.71875,0.6808,28.49937343597412,0.0003
1632036,128,0.5678809285163879,0.71875,0.719,33.04381585121155,0.0003
1834542,144,0.5248405337333679,0.6875,0.7258,37.60335040092468,0.0003
2040205,160,0.4003226161003113,0.8125,0.73,40.95795011520386,0.0003
2241316,176,0.41241151094436646,0.84375,0.7454,44.02131986618042,0.0003
2445598,192,0.6176422834396362,0.59375,0.766,47.41260766983032,0.0003
2647550,208,0.4567691385746002,0.75,0.7646,50.78990650177002,0.0003
2851015,224,0.3821048438549042,0.8125,0.7612,54.040682315826416,0.0003
3051498,240,0.38658156991004944,0.8125,0.7682,57.149412870407104,0.0003
3253815,256,0.5612375140190125,0.71875,0.7312,60.33916354179382,0.0003
3456057,272,0.7649955749511719,0.46875,0.7254,63.69441771507263,0.0003
3660504,288,0.3530738353729248,0.8125,0.7516,67.1376142501831,0.0003
3862674,304,0.3472793996334076,0.8125,0.7872,70.61201167106628,0.0003
4065049,320,0.3157274127006531,0.90625,0.776,73.98964715003967,0.0003
4265996,336,0.47845229506492615,0.6875,0.7712,77.13380575180054,0.0003
4468994,352,0.45874646306037903,0.75,0.7994,79.46207070350647,0.0003
4671022,368,0.38817718625068665,0.8125,0.787,83.04664778709412,0.0003
4873577,384,0.3460906147956848,0.78125,0.7912,86.65326046943665,0.0003
5075465,400,0.3284286856651306,0.84375,0.8084,90.33960032463074,0.0003
5279489,416,0.2218427211046219,0.875,0.8112,93.97358059883118,0.0003
5482424,432,0.1879061460494995,0.875,0.8152,97.63769793510437,0.0003
5683747,448,0.4143669605255127,0.78125,0.8236,101.2008056640625,0.0003
5884423,464,0.4817677140235901,0.78125,0.7838,105.50649094581604,0.0003
6088480,480,0.37680408358573914,0.8125,0.821,110.16029453277588,0.0003
6293011,496,0.2783670425415039,0.90625,0.835,113.42118644714355,0.0003
6495352,512,0.327810138463974,0.84375,0.8332,117.99659776687622,0.0003
6700287,528,0.40712302923202515,0.75,0.822,122.56656217575073,0.0003
6905166,544,0.5460872650146484,0.75,0.8376,127.14821028709412,0.0003
7108864,560,0.5291259288787842,0.65625,0.8346,131.73438429832458,0.0003
7313544,576,0.26357075572013855,0.90625,0.8584,136.28183937072754,0.0003
7519149,592,0.20226359367370605,0.9375,0.8422,140.83419060707092,0.0003
7722458,608,0.3753149211406708,0.84375,0.8584,145.43680906295776,0.0003
7925345,624,0.3339466154575348,0.90625,0.8606,150.02696537971497,0.0003
8129327,640,0.24596507847309113,0.90625,0.866,154.58398604393005,0.0003
8330638,656,0.1589345484972,0.90625,0.8654,159.13774132728577,0.0003
8533201,672,0.11067087203264236,0.9375,0.8512,163.71673202514648,0.0003
8735959,688,0.12974196672439575,0.90625,0.8748,167.2588255405426,0.0003
8941703,704,0.3621148467063904,0.84375,0.8408,170.25901913642883,0.0003
9145074,720,0.22574785351753235,0.9375,0.873,173.26837539672852,0.0003
9349395,736,0.3432113230228424,0.8125,0.8662,176.45533680915833,0.0003
9551089,752,0.15419740974903107,0.9375,0.8628,179.85134768486023,0.0003
9755437,768,0.36365771293640137,0.8125,0.8632,182.83819842338562,0.0003
9957082,784,0.31788042187690735,0.90625,0.8674,185.79165625572205,0.0003
