seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
212968,13,0.6820347309112549,0.5625,0.4554,0.19524526596069336,0.00012778079999999997
425930,26,0.7195724248886108,0.53125,0.5446,1.24979829788208,0.00025555799999999997
638894,39,0.6585718393325806,0.59375,0.4554,2.3125064373016357,0.0003
851885,52,0.7000201344490051,0.59375,0.5446,3.4181900024414062,0.0003
1064877,65,0.6944083571434021,0.46875,0.4554,4.411086320877075,0.0003
1277838,78,0.718187689781189,0.5,0.5446,5.427357912063599,0.0003
1490814,91,0.7009162902832031,0.375,0.4554,6.475274085998535,0.0003
1703791,104,0.6807325482368469,0.59375,0.5748,7.5410683155059814,0.0003
1916783,117,0.732367992401123,0.5,0.5562,8.760968208312988,0.0003
2129741,130,0.7047050595283508,0.4375,0.4986,10.052507877349854,0.0003
2342733,143,0.6744991540908813,0.59375,0.5754,11.290001153945923,0.0003
2555719,156,0.6277894973754883,0.65625,0.5788,12.539139032363892,0.0003
2768711,169,0.7206699252128601,0.5,0.5742,13.793484926223755,0.0003
2981703,182,0.6177853345870972,0.5625,0.5902,14.967694759368896,0.0003
3194695,195,0.6142565011978149,0.65625,0.617,15.51429533958435,0.0003
3407687,208,0.643624484539032,0.6875,0.615,16.25262212753296,0.0003
3620678,221,0.6729403734207153,0.59375,0.6264,17.486835718154907,0.0003
3833664,234,0.6917881965637207,0.5,0.6008,18.755409002304077,0.0003
4046591,247,0.6318150758743286,0.625,0.5954,20.029167890548706,0.0003
4259583,260,0.6023984551429749,0.59375,0.5948,21.31438446044922,0.0003
4472571,273,0.6513752937316895,0.65625,0.6424,22.592339038848877,0.0003
4685563,286,0.6342293620109558,0.625,0.6164,23.838798999786377,0.0003
4898528,299,0.62694251537323,0.5625,0.6106,25.10195279121399,0.0003
5111474,312,0.5788553953170776,0.6875,0.6422,26.373178958892822,0.0003
5324446,325,0.6150133013725281,0.59375,0.6404,27.634258270263672,0.0003
5537438,338,0.7272736430168152,0.59375,0.5924,28.908662796020508,0.0003
5750430,351,0.6144094467163086,0.625,0.6436,30.18718147277832,0.0003
5963412,364,0.6433349847793579,0.78125,0.6218,31.470418691635132,0.0003
6176370,377,0.5694347023963928,0.65625,0.6626,32.7645058631897,0.0003
6389362,390,0.5683314204216003,0.75,0.657,34.05509662628174,0.0003
6602311,403,0.5578784942626953,0.59375,0.6008,35.361008644104004,0.0003
6815219,416,0.7130401730537415,0.59375,0.653,36.65401554107666,0.0003
7028211,429,0.6223239898681641,0.75,0.6248,37.966306924819946,0.0003
7241203,442,0.6352648138999939,0.65625,0.6474,39.259756088256836,0.0003
7454195,455,0.7001239061355591,0.4375,0.6384,40.54148554801941,0.0003
7667187,468,0.5008987784385681,0.75,0.6612,41.80562424659729,0.0003
7880179,481,0.5403696894645691,0.59375,0.6684,43.06335687637329,0.0003
8093122,494,0.5927523970603943,0.625,0.6722,44.32441329956055,0.0003
8306114,507,0.5510259866714478,0.625,0.6592,45.57718372344971,0.0003
8519106,520,0.598419189453125,0.6875,0.6766,46.83737921714783,0.0003
8731995,533,0.5208774209022522,0.78125,0.6778,48.11579513549805,0.0003
8944987,546,0.5851035714149475,0.6875,0.6744,49.399004220962524,0.0003
9157927,559,0.513460099697113,0.71875,0.6836,50.67131447792053,0.0003
9370919,572,0.5005711913108826,0.71875,0.6828,51.92191028594971,0.0003
9583911,585,0.4827253222465515,0.71875,0.6822,53.17290806770325,0.0003
9796903,598,0.503354549407959,0.65625,0.6296,54.51504898071289,0.0003
10009883,611,0.5472877025604248,0.71875,0.6868,55.78243708610535,0.0003
