seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
207861,30,0.6810087561607361,0.5,0.614,0.5735299587249756,0.0001247166
408087,58,0.6643599271774292,0.65625,0.6486,1.8909580707550049,0.00024485219999999995
608356,86,0.5916270017623901,0.625,0.712,3.1676182746887207,0.0003
810283,115,0.5813243985176086,0.75,0.7492,4.54770040512085,0.0003
1013932,144,0.5240472555160522,0.6875,0.762,6.072277545928955,0.0003
1218920,173,0.34311598539352417,0.90625,0.7974,7.746338605880737,0.0003
1423098,202,0.439212828874588,0.75,0.7968,9.316211700439453,0.0003
1626683,231,0.42778804898262024,0.84375,0.7596,10.955045461654663,0.0003
1829671,260,0.23900780081748962,0.90625,0.8528,12.811887264251709,0.0003
2034767,289,0.5817864537239075,0.71875,0.862,14.545806407928467,0.0003
2236524,318,0.24501414597034454,0.90625,0.8574,15.926531076431274,0.0003
2441059,348,0.20188717544078827,0.9375,0.8696,17.565175533294678,0.0003
2645048,377,0.23117797076702118,0.90625,0.8806,19.577595233917236,0.0003
2850203,407,0.22277143597602844,0.9375,0.8854,21.270081043243408,0.0003
3053071,436,0.38325998187065125,0.78125,0.8902,23.148922443389893,0.0003
3254932,465,0.24868836998939514,0.875,0.8932,24.744301319122314,0.0003
3455538,494,0.13718301057815552,0.90625,0.894,26.3477201461792,0.0003
3659714,523,0.16477006673812866,0.9375,0.8734,27.972470998764038,0.0003
3862571,552,0.22457963228225708,0.875,0.8972,29.753280639648438,0.0003
4063526,581,0.14500778913497925,0.9375,0.8914,31.51677632331848,0.0003
4267734,610,0.1655721217393875,0.90625,0.8998,33.119871854782104,0.0003
4468503,639,0.23397237062454224,0.875,0.898,34.63217759132385,0.0003
4674510,669,0.2706354856491089,0.8125,0.8942,36.27184820175171,0.0003
4877426,698,0.20098337531089783,0.84375,0.9044,37.85452198982239,0.0003
5079835,727,0.11852694302797318,0.96875,0.9004,39.411640644073486,0.0003
5283407,755,0.11931614577770233,0.9375,0.8932,41.03859329223633,0.0003
5485521,784,0.16673827171325684,0.9375,0.8992,42.591291189193726,0.0003
5688327,813,0.36223742365837097,0.75,0.9072,44.1235454082489,0.0003
5893642,842,0.11629624664783478,0.96875,0.9048,45.754571199417114,0.0003
6097811,871,0.08955132961273193,0.96875,0.8836,47.36936330795288,0.0003
6304635,901,0.19694742560386658,0.90625,0.9026,49.240705490112305,0.0003
6508916,930,0.18982945382595062,0.9375,0.904,51.10349726676941,0.0003
6714401,960,0.1648622453212738,0.9375,0.9032,52.846476554870605,0.0003
6917335,989,0.32936760783195496,0.84375,0.9004,53.45571780204773,0.0003
7117927,1018,0.15987710654735565,0.9375,0.9084,54.08121609687805,0.0003
7319956,1047,0.2590278685092926,0.90625,0.909,54.750699043273926,0.0003
7525423,1077,0.14238381385803223,0.96875,0.9,55.93428421020508,0.0003
7731097,1106,0.13548347353935242,0.90625,0.9138,57.03289771080017,0.0003
7933419,1135,0.17147384583950043,0.90625,0.9058,58.19904804229736,0.0003
8134938,1164,0.16721023619174957,0.90625,0.9142,59.380042552948,0.0003
8335609,1192,0.16712923347949982,0.9375,0.9088,60.50709366798401,0.0003
8537940,1221,0.14088544249534607,0.90625,0.9138,61.63808727264404,0.0003
8740546,1250,0.0839323177933693,0.96875,0.895,62.77165150642395,0.0003
8945118,1280,0.1270008236169815,0.96875,0.9118,63.95317816734314,0.0003
9145977,1309,0.23825475573539734,0.90625,0.9088,65.09364938735962,0.0003
9349033,1338,0.08106918632984161,0.96875,0.903,66.28288745880127,0.0003
9555185,1367,0.14059075713157654,0.90625,0.9154,67.45382165908813,0.0003
9761074,1396,0.061892177909612656,1.0,0.91,68.59025263786316,0.0003
9966708,1425,0.2702551484107971,0.875,0.914,69.76949119567871,0.0003
