seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
201035,19,0.7324411869049072,0.46875,0.5446,0.17051911354064941,0.00012062099999999998
401792,38,0.6671114563941956,0.5625,0.5894,1.8342294692993164,0.00024107519999999998
602013,57,0.625392735004425,0.625,0.6222,3.5524210929870605,0.0003
812378,77,0.6407252550125122,0.71875,0.6748,4.15723729133606,0.0003
1012889,96,0.513401448726654,0.75,0.6992,4.749789476394653,0.0003
1222531,116,0.669489324092865,0.625,0.702,5.34618616104126,0.0003
1432136,136,0.6663295030593872,0.65625,0.7144,5.954631090164185,0.0003
1641478,156,0.6053482890129089,0.6875,0.7628,7.149800539016724,0.0003
1841584,175,0.5096588730812073,0.65625,0.7304,8.235915899276733,0.0003
2042838,194,0.48348668217658997,0.71875,0.7548,9.316622972488403,0.0003
2250534,214,0.30392345786094666,0.84375,0.7298,10.413962364196777,0.0003
2457576,234,0.3601663112640381,0.84375,0.781,11.506834030151367,0.0003
2667314,254,0.41389185190200806,0.78125,0.7934,12.652610540390015,0.0003
2876122,274,0.63681960105896,0.625,0.7962,13.738096952438354,0.0003
3082592,294,0.39061200618743896,0.875,0.8062,14.849021673202515,0.0003
3288961,314,0.39271196722984314,0.8125,0.8026,15.922953844070435,0.0003
3496463,334,0.4922578036785126,0.6875,0.757,17.015708923339844,0.0003
3704386,354,0.35675114393234253,0.90625,0.825,18.0959529876709,0.0003
3913456,374,0.4257001280784607,0.8125,0.8116,19.190394639968872,0.0003
4122771,394,0.3297545611858368,0.84375,0.8298,20.268788814544678,0.0003
4331808,414,0.26410454511642456,0.90625,0.8158,21.315972089767456,0.0003
4541185,434,0.3354531526565552,0.8125,0.8304,22.475552797317505,0.0003
4746504,454,0.23058955371379852,0.90625,0.8142,23.57380175590515,0.0003
4956037,474,0.4726731777191162,0.84375,0.8518,24.75171995162964,0.0003
5165881,494,0.2269544005393982,0.9375,0.8422,26.13565707206726,0.0003
5374860,514,0.33556342124938965,0.90625,0.8474,27.566260814666748,0.0003
5575043,533,0.4659777283668518,0.8125,0.8528,28.933194398880005,0.0003
5781244,553,0.1957399547100067,0.84375,0.8528,30.346925973892212,0.0003
5985500,572,0.4181002378463745,0.8125,0.8554,31.547518968582153,0.0003
6194069,592,0.1960538923740387,0.90625,0.8616,32.15039563179016,0.0003
6403869,612,0.20084932446479797,0.96875,0.8428,33.24823522567749,0.0003
6604710,631,0.17529864609241486,0.90625,0.8624,34.636573791503906,0.0003
6805988,650,0.3123391270637512,0.875,0.8332,36.00998663902283,0.0003
7015033,670,0.17382942140102386,0.9375,0.8592,37.401838064193726,0.0003
7225162,690,0.26082783937454224,0.84375,0.8722,38.78394341468811,0.0003
7435139,710,0.4414973258972168,0.75,0.85,40.1988582611084,0.0003
7643935,730,0.296053022146225,0.875,0.883,41.609740018844604,0.0003
7844467,749,0.18457844853401184,0.96875,0.8798,43.01097536087036,0.0003
8049282,768,0.12076040357351303,0.9375,0.8782,44.39097571372986,0.0003
8256960,788,0.35787659883499146,0.78125,0.8958,45.802818298339844,0.0003
8467162,808,0.23338860273361206,0.84375,0.8806,47.20675492286682,0.0003
8668422,827,0.2810403108596802,0.875,0.8872,48.5970664024353,0.0003
8879255,847,0.4882182776927948,0.8125,0.885,50.01079964637756,0.0003
9080603,866,0.13866360485553741,0.96875,0.8974,51.38780927658081,0.0003
9285815,886,0.2885766327381134,0.875,0.89,52.777912616729736,0.0003
9492602,906,0.30619367957115173,0.875,0.885,54.185816287994385,0.0003
9699369,926,0.15023107826709747,0.9375,0.8842,55.59058928489685,0.0003
9906538,946,0.21176943182945251,0.90625,0.9032,57.02960276603699,0.0003
