dataset,model,tokenizer,budget_mode,acc,drift_acc,avg_len,p95_len,n_params,params_m,vocab,max_len,total_tokens,total_steps,majority_train_frac,majority_test_acc,seed,_source
csic2010,tiny,BPE,token_fair,0.8528,0.4686,327.2294,514,724738,0.724738,2048,512,10000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok10M/seed0/results_token_fair.csv
csic2010,tiny,WordPiece,token_fair,0.9,0.4832,329.449,526,724738,0.724738,2048,512,10000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok10M/seed0/results_token_fair.csv
csic2010,tiny,Unigram,token_fair,0.7936,0.7914,406.3974,595,724738,0.724738,2048,512,10000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok10M/seed0/results_token_fair.csv
csic2010,tiny,Bytes,token_fair,0.686,0.4574,785.3036,1059,724738,0.724738,2048,512,10000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok10M/seed0/results_token_fair.csv
csic2010,tiny,CIT,token_fair,0.9108,0.9108,216.9894,416,724738,0.724738,2048,512,10000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok10M/seed0/results_token_fair.csv
csic2010,small,BPE,token_fair,0.8994,0.493,327.2294,514,3815426,3.815426,2048,512,10000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok10M/seed0/results_token_fair.csv
csic2010,small,WordPiece,token_fair,0.9204,0.4756,329.449,526,3815426,3.815426,2048,512,10000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok10M/seed0/results_token_fair.csv
csic2010,small,Unigram,token_fair,0.848,0.8496,406.3974,595,3815426,3.815426,2048,512,10000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok10M/seed0/results_token_fair.csv
csic2010,small,Bytes,token_fair,0.6864,0.4424,785.3036,1059,3815426,3.815426,2048,512,10000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok10M/seed0/results_token_fair.csv
csic2010,small,CIT,token_fair,0.9138,0.9138,216.9894,416,3815426,3.815426,2048,512,10000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok10M/seed0/results_token_fair.csv
csic2010,tiny,BPE,token_fair,0.8682,0.5006,329.209,519,724738,0.724738,2048,512,10000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok10M/seed1/results_token_fair.csv
csic2010,tiny,WordPiece,token_fair,0.8762,0.4908,331.5392,532,724738,0.724738,2048,512,10000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok10M/seed1/results_token_fair.csv
csic2010,tiny,Unigram,token_fair,0.8132,0.813,402.7612,605,724738,0.724738,2048,512,10000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok10M/seed1/results_token_fair.csv
csic2010,tiny,Bytes,token_fair,0.672,0.4516,788.5086,1066,724738,0.724738,2048,512,10000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok10M/seed1/results_token_fair.csv
csic2010,tiny,CIT,token_fair,0.9092,0.9092,213.3634,402,724738,0.724738,2048,512,10000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok10M/seed1/results_token_fair.csv
csic2010,small,BPE,token_fair,0.9018,0.531,329.209,519,3815426,3.815426,2048,512,10000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok10M/seed1/results_token_fair.csv
csic2010,small,WordPiece,token_fair,0.9118,0.5266,331.5392,532,3815426,3.815426,2048,512,10000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok10M/seed1/results_token_fair.csv
csic2010,small,Unigram,token_fair,0.8504,0.8504,402.7612,605,3815426,3.815426,2048,512,10000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok10M/seed1/results_token_fair.csv
csic2010,small,Bytes,token_fair,0.6864,0.457,788.5086,1066,3815426,3.815426,2048,512,10000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok10M/seed1/results_token_fair.csv
csic2010,small,CIT,token_fair,0.9192,0.9192,213.3634,402,3815426,3.815426,2048,512,10000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok10M/seed1/results_token_fair.csv
csic2010,tiny,BPE,token_fair,0.847,0.4858,327.0838,513,724738,0.724738,2048,512,10000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok10M/seed2/results_token_fair.csv
csic2010,tiny,WordPiece,token_fair,0.9056,0.4938,329.2584,523,724738,0.724738,2048,512,10000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok10M/seed2/results_token_fair.csv
csic2010,tiny,Unigram,token_fair,0.8256,0.8232,399.6362,598,724738,0.724738,2048,512,10000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok10M/seed2/results_token_fair.csv
csic2010,tiny,Bytes,token_fair,0.6768,0.4458,785.4556,1057,724738,0.724738,2048,512,10000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok10M/seed2/results_token_fair.csv
csic2010,tiny,CIT,token_fair,0.9056,0.9056,218.015,414,724738,0.724738,2048,512,10000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok10M/seed2/results_token_fair.csv
csic2010,small,BPE,token_fair,0.9054,0.5222,327.0838,513,3815426,3.815426,2048,512,10000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok10M/seed2/results_token_fair.csv
csic2010,small,WordPiece,token_fair,0.9104,0.4782,329.2584,523,3815426,3.815426,2048,512,10000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok10M/seed2/results_token_fair.csv
csic2010,small,Unigram,token_fair,0.8696,0.8692,399.6362,598,3815426,3.815426,2048,512,10000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok10M/seed2/results_token_fair.csv
csic2010,small,Bytes,token_fair,0.6862,0.4462,785.4556,1057,3815426,3.815426,2048,512,10000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok10M/seed2/results_token_fair.csv
csic2010,small,CIT,token_fair,0.9154,0.9154,218.015,414,3815426,3.815426,2048,512,10000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok10M/seed2/results_token_fair.csv
csic2010,tiny,BPE,token_fair,0.7392,0.4628,327.2294,514,724738,0.724738,2048,512,1000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok1M/seed0/results_token_fair.csv
csic2010,tiny,WordPiece,token_fair,0.7078,0.6706,329.4426,526,724738,0.724738,2048,512,1000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok1M/seed0/results_token_fair.csv
csic2010,tiny,Unigram,token_fair,0.7082,0.7082,406.3974,595,724738,0.724738,2048,512,1000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok1M/seed0/results_token_fair.csv
csic2010,tiny,Bytes,token_fair,0.5874,0.4924,785.3036,1059,724738,0.724738,2048,512,1000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok1M/seed0/results_token_fair.csv
csic2010,tiny,CIT,token_fair,0.8166,0.8166,216.9894,416,724738,0.724738,2048,512,1000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok1M/seed0/results_token_fair.csv
csic2010,small,BPE,token_fair,0.675,0.4518,327.2294,514,3815426,3.815426,2048,512,1000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok1M/seed0/results_token_fair.csv
csic2010,small,WordPiece,token_fair,0.7624,0.4736,329.4426,526,3815426,3.815426,2048,512,1000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok1M/seed0/results_token_fair.csv
csic2010,small,Unigram,token_fair,0.7012,0.7032,406.3974,595,3815426,3.815426,2048,512,1000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok1M/seed0/results_token_fair.csv
csic2010,small,Bytes,token_fair,0.5886,0.5888,785.3036,1059,3815426,3.815426,2048,512,1000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok1M/seed0/results_token_fair.csv
csic2010,small,CIT,token_fair,0.8434,0.8434,216.9894,416,3815426,3.815426,2048,512,1000000,0,0.54165,0.5576,0,results/paper/e2_budget_sweep/tok1M/seed0/results_token_fair.csv
csic2010,tiny,BPE,token_fair,0.749,0.4636,329.209,519,724738,0.724738,2048,512,1000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok1M/seed1/results_token_fair.csv
csic2010,tiny,WordPiece,token_fair,0.7058,0.6518,331.5392,532,724738,0.724738,2048,512,1000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok1M/seed1/results_token_fair.csv
csic2010,tiny,Unigram,token_fair,0.69,0.6928,402.7612,605,724738,0.724738,2048,512,1000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok1M/seed1/results_token_fair.csv
csic2010,tiny,Bytes,token_fair,0.5878,0.588,788.5086,1066,724738,0.724738,2048,512,1000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok1M/seed1/results_token_fair.csv
csic2010,tiny,CIT,token_fair,0.8484,0.8484,213.3634,402,724738,0.724738,2048,512,1000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok1M/seed1/results_token_fair.csv
csic2010,small,BPE,token_fair,0.7688,0.4748,329.209,519,3815426,3.815426,2048,512,1000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok1M/seed1/results_token_fair.csv
csic2010,small,WordPiece,token_fair,0.7556,0.4728,331.5392,532,3815426,3.815426,2048,512,1000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok1M/seed1/results_token_fair.csv
csic2010,small,Unigram,token_fair,0.7086,0.7074,402.7612,605,3815426,3.815426,2048,512,1000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok1M/seed1/results_token_fair.csv
csic2010,small,Bytes,token_fair,0.5882,0.588,788.5086,1066,3815426,3.815426,2048,512,1000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok1M/seed1/results_token_fair.csv
csic2010,small,CIT,token_fair,0.8486,0.8486,213.3634,402,3815426,3.815426,2048,512,1000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok1M/seed1/results_token_fair.csv
csic2010,tiny,BPE,token_fair,0.7474,0.4478,327.0838,513,724738,0.724738,2048,512,1000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok1M/seed2/results_token_fair.csv
csic2010,tiny,WordPiece,token_fair,0.6874,0.441,329.2552,523,724738,0.724738,2048,512,1000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok1M/seed2/results_token_fair.csv
