dataset,model,tokenizer,budget_mode,total_tokens,n,acc,acc_std,drift_acc,drift_acc_std,avg_len,avg_len_std,p95_len,p95_len_std,total_steps,total_steps_std
csic2010,small,BPE,token_fair,1000000,3,0.7284,0.04823235428630867,0.4597333333333333,0.013054245797185431,327.84073333333333,1.1871878930200312,515.3333333333334,3.2145502536643185,0.0,0.0
csic2010,small,BPE,token_fair,10000000,3,0.9026,0.0024979991993593596,0.5166,0.01787064632295096,327.84073333333333,1.1871878930200312,515.3333333333334,3.2145502536643185,0.0,0.0
csic2010,small,BPE,token_fair,2000000,3,0.7798666666666667,0.023914291403538054,0.4706666666666667,0.002468467810876472,327.84073333333333,1.1871878930200312,515.3333333333334,3.2145502536643185,0.0,0.0
csic2010,small,BPE,token_fair,5000000,3,0.8646,0.016322989922192548,0.5028666666666667,0.0073330302967690815,327.84073333333333,1.1871878930200312,515.3333333333334,3.2145502536643185,0.0,0.0
csic2010,small,Bytes,token_fair,1000000,3,0.5409999999999999,0.08209945188611188,0.5409999999999999,0.0821001827038162,786.4226,1.8081269313850847,1060.6666666666667,4.725815626252609,0.0,0.0
csic2010,small,Bytes,token_fair,10000000,3,0.6864,0.00019999999999997797,0.44853333333333334,0.007574518686578931,786.4226,1.8081269313850847,1060.6666666666667,4.725815626252609,0.0,0.0
csic2010,small,Bytes,token_fair,2000000,3,0.6191333333333333,0.019241968021315628,0.49706666666666666,0.07896564653906997,786.4226,1.8081269313850847,1060.6666666666667,4.725815626252609,0.0,0.0
csic2010,small,Bytes,token_fair,5000000,3,0.6604,0.019592855840841604,0.44813333333333333,0.007100234737903642,786.4226,1.8081269313850847,1060.6666666666667,4.725815626252609,0.0,0.0
csic2010,small,CIT,token_fair,1000000,3,0.8476666666666667,0.0011372481406154474,0.8476666666666667,0.0011372481406154474,216.1226,2.4439419633043515,410.6666666666667,7.571877794400365,0.0,0.0
csic2010,small,CIT,token_fair,10000000,3,0.9180666666666667,0.0023180451534284947,0.9180666666666667,0.0023180451534284947,216.1226,2.4439419633043515,410.6666666666667,7.571877794400365,0.0,0.0
