seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
201035,19,0.7310565710067749,0.46875,0.5446,0.2986483573913574,0.00012062099999999998
401795,38,0.6697584986686707,0.53125,0.5896,1.3110966682434082,0.000241077
602015,57,0.6298779845237732,0.625,0.6206,2.345122814178467,0.0003
812379,77,0.6481634974479675,0.6875,0.6722,3.3543689250946045,0.0003
1012890,96,0.5135560035705566,0.75,0.698,4.3790411949157715,0.0003
1222532,116,0.6567297577857971,0.65625,0.7004,5.413692235946655,0.0003
1432140,136,0.6646479964256287,0.65625,0.7136,6.4246299266815186,0.0003
1641484,156,0.5766653418540955,0.71875,0.7614,7.45819878578186,0.0003
1841592,175,0.524314820766449,0.625,0.7268,8.4129638671875,0.0003
2042844,194,0.4986102879047394,0.6875,0.7542,9.424961805343628,0.0003
2250541,214,0.3036857843399048,0.8125,0.7318,10.43653154373169,0.0003
2457585,234,0.33727458119392395,0.875,0.7824,11.46873164176941,0.0003
2667323,254,0.42199182510375977,0.75,0.8056,12.571527004241943,0.0003
2876132,274,0.6036391854286194,0.65625,0.783,13.625138282775879,0.0003
3082602,294,0.3420232832431793,0.90625,0.8204,14.640045642852783,0.0003
3288971,314,0.35610252618789673,0.875,0.809,15.651365756988525,0.0003
3496470,334,0.49619171023368835,0.75,0.797,16.672582387924194,0.0003
3704396,354,0.36728593707084656,0.875,0.8362,17.677213191986084,0.0003
3913464,374,0.39787736535072327,0.84375,0.8228,18.71416664123535,0.0003
4122779,394,0.3093085289001465,0.84375,0.837,19.713354110717773,0.0003
4331818,414,0.28220951557159424,0.8125,0.8256,20.76906657218933,0.0003
4541189,434,0.3113953471183777,0.8125,0.8384,21.73913836479187,0.0003
4746507,454,0.2581230401992798,0.84375,0.7896,22.748798608779907,0.0003
4956035,474,0.3584043085575104,0.875,0.8228,23.78076934814453,0.0003
5165878,494,0.2033667266368866,0.96875,0.8398,24.778778076171875,0.0003
5374856,514,0.37495389580726624,0.90625,0.8382,25.81268286705017,0.0003
5575034,533,0.5064116716384888,0.8125,0.8418,26.750967502593994,0.0003
5781230,553,0.2254587709903717,0.875,0.838,27.78187847137451,0.0003
5985486,572,0.3336780071258545,0.8125,0.8556,28.813696146011353,0.0003
6194052,592,0.18521837890148163,0.90625,0.853,29.83148431777954,0.0003
6403856,612,0.19228078424930573,0.96875,0.8504,30.8665452003479,0.0003
6604700,631,0.23171040415763855,0.875,0.8526,31.864269495010376,0.0003
6805982,650,0.2701945900917053,0.90625,0.8356,32.87288475036621,0.0003
7015032,670,0.16942110657691956,0.96875,0.8376,33.87814712524414,0.0003
7225162,690,0.2269936352968216,0.90625,0.8692,34.895739793777466,0.0003
7435139,710,0.47024327516555786,0.78125,0.836,35.923166275024414,0.0003
7643938,730,0.3065188527107239,0.875,0.8754,36.93846607208252,0.0003
7844469,749,0.1483173817396164,0.90625,0.873,37.963117837905884,0.0003
8049281,768,0.13934065401554108,0.9375,0.8762,38.95895075798035,0.0003
8256960,788,0.4637160003185272,0.71875,0.8752,39.96856212615967,0.0003
8467163,808,0.2715194821357727,0.875,0.8698,40.92480826377869,0.0003
8668420,827,0.2618311643600464,0.875,0.8798,41.91966700553894,0.0003
8879251,847,0.4247702360153198,0.875,0.8786,42.93125295639038,0.0003
9080596,866,0.12879015505313873,0.9375,0.8874,43.911874771118164,0.0003
9285807,886,0.28468069434165955,0.875,0.8842,44.950398206710815,0.0003
9492593,906,0.22088463604450226,0.90625,0.8912,45.98226308822632,0.0003
9699359,926,0.07488908618688583,1.0,0.8762,47.048131465911865,0.0003
9906527,946,0.29059186577796936,0.90625,0.8988,48.04778504371643,0.0003
