seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
200982,16,0.6730393767356873,0.65625,0.5818,0.5037791728973389,0.00012058919999999998
412118,33,0.8353407979011536,0.46875,0.6476,2.6389987468719482,0.00024727079999999996
624092,50,0.38891032338142395,0.84375,0.6456,4.7878758907318115,0.0003
834977,67,0.5747994780540466,0.65625,0.6914,6.923482418060303,0.0003
1047196,84,0.5220702290534973,0.78125,0.7148,9.058125495910645,0.0003
1248237,100,0.5928338170051575,0.59375,0.7244,11.169251203536987,0.0003
1450229,116,0.5143176317214966,0.78125,0.7228,13.277665615081787,0.0003
1650933,132,0.4383518099784851,0.84375,0.7636,15.384155988693237,0.0003
1853165,148,0.5710702538490295,0.71875,0.726,17.491680145263672,0.0003
2061560,165,0.4873572587966919,0.84375,0.7534,19.62599492073059,0.0003
2262241,181,0.422211617231369,0.8125,0.7532,21.73076319694519,0.0003
2463788,197,0.4314666986465454,0.8125,0.772,23.85410165786743,0.0003
2663866,213,0.4900536835193634,0.75,0.7776,25.960205793380737,0.0003
2864464,229,0.3735545575618744,0.8125,0.7838,28.069633960723877,0.0003
3076067,246,0.30324235558509827,0.875,0.7812,30.20246386528015,0.0003
3285777,263,0.3230830729007721,0.875,0.7652,32.34931921958923,0.0003
3485889,279,0.5631232857704163,0.71875,0.6408,34.45838141441345,0.0003
3697076,296,0.4439070224761963,0.75,0.7748,36.59046769142151,0.0003
3907347,313,0.3972419798374176,0.8125,0.7886,38.72523832321167,0.0003
4107704,329,0.44817253947257996,0.75,0.7838,40.831459045410156,0.0003
4309047,345,0.5215693712234497,0.78125,0.7542,42.93521595001221,0.0003
4519548,362,0.4699488580226898,0.71875,0.795,45.07174563407898,0.0003
4728094,379,0.3265107274055481,0.84375,0.8044,47.20398831367493,0.0003
4929160,395,0.24875980615615845,0.9375,0.7718,49.311519384384155,0.0003
5130158,411,0.3591688871383667,0.8125,0.8022,51.421534299850464,0.0003
5332217,427,0.41572538018226624,0.8125,0.8078,53.53670072555542,0.0003
5543675,444,0.3101641535758972,0.8125,0.8016,55.672038555145264,0.0003
5744723,460,0.4615829885005951,0.71875,0.8074,57.778486251831055,0.0003
5945093,476,0.4291577637195587,0.8125,0.8106,59.88260293006897,0.0003
6156414,493,0.32000136375427246,0.8125,0.82,62.01998233795166,0.0003
6367942,510,0.3894961178302765,0.875,0.8,64.15489435195923,0.0003
6580494,527,0.4930194020271301,0.71875,0.8186,66.28901529312134,0.0003
6780498,543,0.3833663761615753,0.8125,0.8286,68.39555215835571,0.0003
6989824,560,0.42811185121536255,0.75,0.812,70.52975273132324,0.0003
7190357,576,0.43051832914352417,0.78125,0.8248,72.63310670852661,0.0003
7401692,593,0.3562543988227844,0.78125,0.8296,74.76728963851929,0.0003
7612042,610,0.3261896073818207,0.8125,0.8384,76.90203833580017,0.0003
7814496,626,0.30662378668785095,0.875,0.819,79.0115315914154,0.0003
8015107,642,0.601804792881012,0.6875,0.8416,81.11698293685913,0.0003
8224937,659,0.4051060080528259,0.8125,0.8358,83.24962091445923,0.0003
8425923,675,0.3509403467178345,0.84375,0.8398,85.3593282699585,0.0003
8628339,691,0.40365108847618103,0.78125,0.801,87.4666678905487,0.0003
8829387,707,0.3232230544090271,0.84375,0.8388,89.5858724117279,0.0003
9030681,723,0.22020545601844788,0.90625,0.8354,91.69427418708801,0.0003
9231994,739,0.3763986825942993,0.78125,0.8444,93.8156270980835,0.0003
9432920,755,0.24505490064620972,0.84375,0.8498,95.92466855049133,0.0003
9633619,771,0.22063343226909637,0.9375,0.832,98.03162169456482,0.0003
9846459,788,0.43290597200393677,0.84375,0.841,100.1663773059845,0.0003
