dataset,model,tokenizer,budget_mode,acc,drift_acc,avg_len,p95_len,n_params,params_m,vocab,max_len,total_tokens,total_steps,majority_train_frac,majority_test_acc,seed
csic2010,tiny,BPE,token_fair,0.8682,0.5006,329.209,519,724738,0.724738,2048,512,10000000,0,0.5423,0.5426,1
csic2010,tiny,WordPiece,token_fair,0.8762,0.4908,331.5392,532,724738,0.724738,2048,512,10000000,0,0.5423,0.5426,1
csic2010,tiny,Unigram,token_fair,0.8132,0.813,402.7612,605,724738,0.724738,2048,512,10000000,0,0.5423,0.5426,1
csic2010,tiny,Bytes,token_fair,0.672,0.4516,788.5086,1066,724738,0.724738,2048,512,10000000,0,0.5423,0.5426,1
csic2010,tiny,CIT,token_fair,0.9092,0.9092,213.3634,402,724738,0.724738,2048,512,10000000,0,0.5423,0.5426,1
csic2010,small,BPE,token_fair,0.9018,0.531,329.209,519,3815426,3.815426,2048,512,10000000,0,0.5423,0.5426,1
csic2010,small,WordPiece,token_fair,0.9118,0.5266,331.5392,532,3815426,3.815426,2048,512,10000000,0,0.5423,0.5426,1
csic2010,small,Unigram,token_fair,0.8504,0.8504,402.7612,605,3815426,3.815426,2048,512,10000000,0,0.5423,0.5426,1
csic2010,small,Bytes,token_fair,0.6864,0.457,788.5086,1066,3815426,3.815426,2048,512,10000000,0,0.5423,0.5426,1
csic2010,small,CIT,token_fair,0.9192,0.9192,213.3634,402,3815426,3.815426,2048,512,10000000,0,0.5423,0.5426,1
