dataset,model,tokenizer,budget_mode,acc,drift_acc,avg_len,p95_len,n_params,params_m,vocab,max_len,total_tokens,total_steps,majority_train_frac,majority_test_acc,seed
csic2010,tiny,BPE,token_fair,0.7392,0.4628,327.2294,514,724738,0.724738,2048,512,1000000,0,0.54165,0.5576,0
csic2010,tiny,WordPiece,token_fair,0.7078,0.6706,329.4426,526,724738,0.724738,2048,512,1000000,0,0.54165,0.5576,0
csic2010,tiny,Unigram,token_fair,0.7082,0.7082,406.3974,595,724738,0.724738,2048,512,1000000,0,0.54165,0.5576,0
csic2010,tiny,Bytes,token_fair,0.5874,0.4924,785.3036,1059,724738,0.724738,2048,512,1000000,0,0.54165,0.5576,0
csic2010,tiny,CIT,token_fair,0.8166,0.8166,216.9894,416,724738,0.724738,2048,512,1000000,0,0.54165,0.5576,0
csic2010,small,BPE,token_fair,0.675,0.4518,327.2294,514,3815426,3.815426,2048,512,1000000,0,0.54165,0.5576,0
csic2010,small,WordPiece,token_fair,0.7624,0.4736,329.4426,526,3815426,3.815426,2048,512,1000000,0,0.54165,0.5576,0
csic2010,small,Unigram,token_fair,0.7012,0.7032,406.3974,595,3815426,3.815426,2048,512,1000000,0,0.54165,0.5576,0
csic2010,small,Bytes,token_fair,0.5886,0.5888,785.3036,1059,3815426,3.815426,2048,512,1000000,0,0.54165,0.5576,0
csic2010,small,CIT,token_fair,0.8434,0.8434,216.9894,416,3815426,3.815426,2048,512,1000000,0,0.54165,0.5576,0
