seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
52765,8,0.8740260601043701,0.46875,0.4736,0.4837782382965088,0.0003
106166,16,0.8230623006820679,0.59375,0.609,4.2781383991241455,0.0003
158937,24,0.6128148436546326,0.6875,0.5472,8.023778438568115,0.0003
214917,32,0.701213538646698,0.53125,0.457,11.828970670700073,0.0003
268647,40,0.7336892485618591,0.59375,0.6426,15.633509159088135,0.0003
318893,47,0.6589614152908325,0.59375,0.6416,19.405839920043945,0.0003
371293,55,0.518024206161499,0.75,0.6784,23.156389236450195,0.0003
424368,63,0.4880540668964386,0.75,0.7572,25.742777109146118,0.0003
475361,70,0.4497298002243042,0.6875,0.7854,28.226030826568604,0.0003
532646,78,0.7216659188270569,0.46875,0.6236,31.07183265686035,0.0003
587483,86,0.506314218044281,0.75,0.7926,34.02831792831421,0.0003
641783,94,0.42510852217674255,0.71875,0.8162,36.747069358825684,0.0003
696267,102,0.2781946063041687,0.84375,0.6588,39.21446943283081,0.0003
750191,110,0.41316455602645874,0.84375,0.8012,42.12038969993591,0.0003
803291,118,0.300480455160141,0.9375,0.8548,45.04303216934204,0.0003
856905,126,0.26509204506874084,0.875,0.843,47.87813353538513,0.0003
909886,134,0.39330610632896423,0.78125,0.868,50.95615363121033,0.0003
961855,142,0.31974151730537415,0.8125,0.8516,53.91210412979126,0.0003
