seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
65536,4,0.6888009309768677,0.5,0.4554,0.2173006534576416,0.000196608
131072,8,0.6811018586158752,0.53125,0.4554,3.309691905975342,0.0003
196608,12,0.6438342928886414,0.625,0.4554,6.406468868255615,0.0003
262144,16,0.7278888821601868,0.59375,0.5446,9.476924896240234,0.0003
327670,20,0.6880171895027161,0.53125,0.5826,12.57590389251709,0.0003
393206,24,0.6966362595558167,0.5625,0.5746,15.671613931655884,0.0003
458733,28,0.6936282515525818,0.5,0.4554,19.093602418899536,0.0003
524269,32,0.6711186170578003,0.6875,0.5446,22.984533548355103,0.0003
589805,36,0.8248409032821655,0.4375,0.5446,26.413349866867065,0.0003
655341,40,0.8517822623252869,0.4375,0.4554,29.222489833831787,0.0003
720877,44,0.6627334952354431,0.65625,0.5446,33.01646661758423,0.0003
786413,48,0.8396626710891724,0.40625,0.5872,36.80225491523743,0.0003
851929,52,0.69478839635849,0.59375,0.5446,40.59240984916687,0.0003
917403,56,0.7042887806892395,0.4375,0.5556,44.410531759262085,0.0003
982939,60,0.6682229042053223,0.5625,0.4554,48.212024211883545,0.0003
1048475,64,0.6731339693069458,0.65625,0.587,51.997626543045044,0.0003
1114011,68,0.6575507521629333,0.6875,0.4884,55.78112292289734,0.0003
1179547,72,0.6737098097801208,0.53125,0.4554,59.57616114616394,0.0003
1245083,76,0.6860512495040894,0.53125,0.5614,63.36118412017822,0.0003
1310619,80,0.7872243523597717,0.5,0.5522,67.17551875114441,0.0003
1376155,84,0.6333336234092712,0.625,0.4554,70.99033522605896,0.0003
1441672,88,0.8235692381858826,0.3125,0.4554,74.77869486808777,0.0003
1507208,92,0.6798554062843323,0.59375,0.5446,78.57428073883057,0.0003
1572744,96,0.7095435261726379,0.40625,0.4874,81.90268468856812,0.0003
1638280,100,0.71182781457901,0.53125,0.5898,84.35082125663757,0.0003
1703816,104,0.6247071623802185,0.75,0.5446,87.27423596382141,0.0003
1769352,108,0.7169216871261597,0.46875,0.6394,90.1917793750763,0.0003
1834888,112,0.6840792894363403,0.46875,0.6442,93.1977162361145,0.0003
1900424,116,0.6185907125473022,0.65625,0.5446,96.41932344436646,0.0003
1965960,120,0.6855674386024475,0.5625,0.614,99.23167586326599,0.0003
