seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
53817,5,0.7047094702720642,0.53125,0.5854,0.15817832946777344,0.000161451
106627,10,0.7390688061714172,0.34375,0.692,2.8019015789031982,0.0003
160216,15,0.799371063709259,0.46875,0.5598,5.930055618286133,0.0003
211289,20,0.671160876750946,0.65625,0.4554,9.023463726043701,0.0003
263733,25,0.6263923645019531,0.625,0.6492,12.10626482963562,0.0003
316452,30,0.6227691769599915,0.65625,0.6732,15.227183818817139,0.0003
368089,35,0.5278159379959106,0.71875,0.687,18.335434675216675,0.0003
420989,40,0.6509523391723633,0.65625,0.6772,21.425246953964233,0.0003
474125,45,0.5204238295555115,0.75,0.7006,24.666206121444702,0.0003
526518,50,0.5452896356582642,0.8125,0.7176,28.58396625518799,0.0003
578281,55,0.5117831230163574,0.71875,0.7152,32.536402225494385,0.0003
632126,60,0.6959830522537231,0.53125,0.6724,35.01208186149597,0.0003
684433,65,0.7182778120040894,0.71875,0.6276,38.867701292037964,0.0003
736260,70,0.6675213575363159,0.59375,0.6004,42.71244525909424,0.0003
788040,75,0.580377995967865,0.625,0.724,46.57958722114563,0.0003
842075,80,0.39765775203704834,0.84375,0.7164,50.420300006866455,0.0003
893667,85,0.5193794965744019,0.6875,0.7202,54.27784514427185,0.0003
946914,90,0.5384687781333923,0.75,0.7536,58.12079572677612,0.0003
999039,95,0.4893336296081543,0.8125,0.7242,61.96135902404785,0.0003
1052127,100,0.624211847782135,0.625,0.775,65.81617593765259,0.0003
1104239,105,0.5255609154701233,0.75,0.7364,69.67372560501099,0.0003
1157632,110,0.5806735157966614,0.78125,0.7796,73.5393660068512,0.0003
1208782,115,0.5916481018066406,0.65625,0.6984,77.40724611282349,0.0003
1260356,120,0.5663672685623169,0.625,0.78,81.28108930587769,0.0003
1311939,125,0.38817158341407776,0.8125,0.733,85.13338899612427,0.0003
1364320,130,0.33802393078804016,0.875,0.7752,88.39296674728394,0.0003
1414516,135,0.33612319827079773,0.84375,0.7562,91.25095748901367,0.0003
1467572,140,0.4315343201160431,0.8125,0.7388,94.41816115379333,0.0003
1518994,145,0.46270298957824707,0.6875,0.7802,97.29938244819641,0.0003
1570196,150,0.4683113396167755,0.75,0.7766,100.11872887611389,0.0003
1622087,155,0.2853390872478485,0.84375,0.7758,103.0874571800232,0.0003
1673336,160,0.32057321071624756,0.84375,0.7918,106.0488338470459,0.0003
1724199,165,0.5323412418365479,0.6875,0.7622,109.14208483695984,0.0003
1774877,170,0.38202303647994995,0.78125,0.7802,111.86897826194763,0.0003
1825359,175,0.3034239411354065,0.90625,0.7918,114.91228222846985,0.0003
1877536,180,0.5663123726844788,0.65625,0.7162,117.93739366531372,0.0003
1930067,185,0.4716179370880127,0.78125,0.797,120.9566581249237,0.0003
1982899,190,0.4312201738357544,0.8125,0.7954,124.34740471839905,0.0003
