seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
51697,4,0.7172020077705383,0.4375,0.5694,0.03684210777282715,0.000155091
103482,8,0.6658536195755005,0.59375,0.4554,0.5646991729736328,0.0003
153614,12,0.7355691194534302,0.46875,0.4554,1.0537142753601074,0.0003
205213,16,0.6664828658103943,0.6875,0.598,2.0991737842559814,0.0003
257298,20,0.7572324275970459,0.46875,0.5462,2.9674906730651855,0.0003
308501,24,0.685005247592926,0.625,0.6362,3.902106285095215,0.0003
371337,29,0.7697667479515076,0.34375,0.4554,4.783458948135376,0.0003
422757,33,0.6832659840583801,0.46875,0.6482,5.641525030136108,0.0003
475006,37,0.6090579628944397,0.78125,0.6424,6.528731822967529,0.0003
525948,41,0.6292213201522827,0.65625,0.6576,7.492267608642578,0.0003
588991,46,0.6606162190437317,0.5625,0.6496,8.43684458732605,0.0003
639428,50,0.619374692440033,0.65625,0.6608,9.314006567001343,0.0003
690669,54,0.5274420380592346,0.75,0.6824,10.188528060913086,0.0003
741786,58,0.551247775554657,0.75,0.6898,11.074532508850098,0.0003
803595,63,0.6519601345062256,0.6875,0.7056,12.002037763595581,0.0003
853951,67,0.4361000955104828,0.84375,0.7054,12.918431997299194,0.0003
904806,71,0.3834682106971741,0.84375,0.7052,13.775534629821777,0.0003
955717,75,0.5146485567092896,0.75,0.7042,14.636824369430542,0.0003
1006903,79,0.5544340014457703,0.75,0.7048,15.52269983291626,0.0003
1058703,83,0.6108983755111694,0.6875,0.7064,16.379105806350708,0.0003
1109405,87,0.5342614054679871,0.75,0.7082,17.233443021774292,0.0003
1160624,91,0.5837492346763611,0.65625,0.6846,18.089804887771606,0.0003
1211622,95,0.7051488161087036,0.5625,0.7106,18.964157104492188,0.0003
1262735,99,0.6765146851539612,0.65625,0.7092,20.043382167816162,0.0003
1313289,103,0.4479794204235077,0.84375,0.7104,21.12712025642395,0.0003
1363379,107,0.6545370817184448,0.6875,0.7112,22.234278917312622,0.0003
1425357,112,0.4918690323829651,0.8125,0.7086,23.33763313293457,0.0003
1476375,116,0.5564966797828674,0.65625,0.7082,24.42424774169922,0.0003
1526552,120,0.6510184407234192,0.625,0.7086,25.530765295028687,0.0003
1577911,124,0.605952262878418,0.65625,0.7032,26.379189014434814,0.0003
1630109,128,0.6475347876548767,0.53125,0.7164,26.8535315990448,0.0003
1680442,132,0.6794314384460449,0.625,0.7202,27.49721360206604,0.0003
1731331,136,0.5971336960792542,0.6875,0.7192,28.546257972717285,0.0003
1782128,140,0.4824244976043701,0.78125,0.7036,29.66114377975464,0.0003
1842813,145,0.5044292211532593,0.8125,0.7042,30.784216165542603,0.0003
1892885,149,0.4174124300479889,0.8125,0.6966,31.896551609039307,0.0003
1945562,153,0.5215877890586853,0.71875,0.7072,33.00752329826355,0.0003
2008486,158,0.5823695063591003,0.625,0.6954,34.104438066482544,0.0003
