seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
52613,8,0.693598210811615,0.5,0.5452,0.06783795356750488,0.00015783899999999998
106083,16,0.6429078578948975,0.625,0.5448,1.3794684410095215,0.0003
159801,24,0.6170644164085388,0.625,0.5938,2.7899465560913086,0.0003
213854,32,0.5454303622245789,0.75,0.631,4.162657976150513,0.0003
268609,40,0.5492197275161743,0.78125,0.6302,5.69499659538269,0.0003
322863,48,0.6257263422012329,0.59375,0.6522,7.014044284820557,0.0003
376430,56,0.5851279497146606,0.65625,0.6354,8.453638792037964,0.0003
428494,64,0.5774255394935608,0.6875,0.7144,9.704798460006714,0.0003
484907,72,0.44353801012039185,0.8125,0.6862,10.982746839523315,0.0003
537256,80,0.48773637413978577,0.71875,0.736,12.647717952728271,0.0003
592420,88,0.5918904542922974,0.53125,0.6912,14.283879280090332,0.0003
645011,96,0.5015749335289001,0.71875,0.7508,15.857733011245728,0.0003
700199,104,0.3880210220813751,0.71875,0.7346,17.33234405517578,0.0003
756247,112,0.36908361315727234,0.875,0.7674,18.79778790473938,0.0003
811615,120,0.3771573603153229,0.84375,0.7856,20.336548566818237,0.0003
864910,128,0.40445560216903687,0.84375,0.8254,21.750592947006226,0.0003
919920,136,0.2327863872051239,0.90625,0.8274,23.39353346824646,0.0003
972478,144,0.2909559905529022,0.84375,0.8278,24.09724736213684,0.0003
1027202,152,0.32019326090812683,0.875,0.855,24.626716375350952,0.0003
1082552,160,0.4152301549911499,0.78125,0.8282,25.0862295627594,0.0003
1136013,168,0.5418524146080017,0.75,0.8234,25.543302536010742,0.0003
1192546,176,0.6769506931304932,0.625,0.7698,26.00428032875061,0.0003
1243555,183,0.4150485098361969,0.8125,0.8188,26.887492656707764,0.0003
1295660,191,0.21225908398628235,0.96875,0.8434,27.788054943084717,0.0003
1350528,199,0.4630052149295807,0.8125,0.8542,28.68830680847168,0.0003
1403203,207,0.4410053789615631,0.78125,0.8428,29.53791570663452,0.0003
1457300,215,0.17868849635124207,0.90625,0.846,30.379233360290527,0.0003
1511950,223,0.2854207158088684,0.84375,0.8574,31.18563485145569,0.0003
1565727,231,0.41645753383636475,0.78125,0.8498,32.007097244262695,0.0003
1621012,239,0.19226577877998352,0.9375,0.8672,32.88249683380127,0.0003
1677466,247,0.21076492965221405,0.9375,0.8674,33.81904625892639,0.0003
1734167,255,0.2170504331588745,0.90625,0.8614,34.61483144760132,0.0003
1786717,263,0.228644460439682,0.9375,0.8642,35.47185778617859,0.0003
1839249,271,0.14372050762176514,0.96875,0.8634,36.307459115982056,0.0003
1892633,279,0.2552579939365387,0.875,0.8386,37.1135311126709,0.0003
1944022,287,0.22204886376857758,0.96875,0.857,37.925220251083374,0.0003
1997906,295,0.25102683901786804,0.90625,0.87,38.74992799758911,0.0003
