seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
105500,10,0.6709627509117126,0.65625,0.5446,0.4561123847961426,0.0001266
212658,20,0.6784746646881104,0.59375,0.6,1.4279451370239258,0.0002551896
315532,30,0.674197793006897,0.6875,0.6176,2.289917469024658,0.0003
417318,40,0.6673615574836731,0.625,0.6548,3.148831605911255,0.0003
520264,50,0.6431421041488647,0.5625,0.6194,4.029925346374512,0.0003
623631,60,0.6775742769241333,0.59375,0.6426,4.870193719863892,0.0003
725404,70,0.6120100617408752,0.65625,0.6748,5.748255729675293,0.0003
827797,80,0.38698330521583557,0.875,0.7008,6.640168190002441,0.0003
933249,90,0.6584800481796265,0.625,0.701,7.500759601593018,0.0003
1035599,100,0.593341588973999,0.625,0.7344,8.376246929168701,0.0003
1138735,110,0.5534683465957642,0.6875,0.7248,9.260197401046753,0.0003
1243251,120,0.5150167942047119,0.78125,0.7444,10.115659952163696,0.0003
1347340,130,0.382046639919281,0.84375,0.7542,11.0045006275177,0.0003
1452619,140,0.45039379596710205,0.8125,0.7714,11.86880612373352,0.0003
1557928,150,0.4861184358596802,0.65625,0.7644,12.723166942596436,0.0003
1660069,160,0.443498820066452,0.75,0.7722,13.581215143203735,0.0003
1765770,170,0.47148510813713074,0.75,0.7692,14.448137283325195,0.0003
1869741,180,0.32193613052368164,0.78125,0.7532,15.339497566223145,0.0003
1975745,190,0.5071913599967957,0.78125,0.779,16.114739179611206,0.0003
2079641,200,0.5170089602470398,0.75,0.7824,16.88071846961975,0.0003
2183930,210,0.48274722695350647,0.71875,0.7026,17.73805809020996,0.0003
2288292,220,0.6107713580131531,0.65625,0.7726,18.605454206466675,0.0003
2392021,230,0.5141425132751465,0.71875,0.7682,19.472408056259155,0.0003
2496718,240,0.45563748478889465,0.8125,0.767,20.33130431175232,0.0003
2601148,250,0.3586692810058594,0.8125,0.7578,21.214272260665894,0.0003
2703015,260,0.50369793176651,0.6875,0.7818,22.076756238937378,0.0003
2807934,270,0.45588478446006775,0.75,0.7628,22.939879179000854,0.0003
2912312,280,0.3779709041118622,0.71875,0.7896,23.82990598678589,0.0003
3014809,290,0.3881595730781555,0.8125,0.7954,24.69755244255066,0.0003
3118882,300,0.4424465596675873,0.8125,0.7932,25.577866554260254,0.0003
3224765,310,0.41299837827682495,0.75,0.7386,26.45162558555603,0.0003
3329816,320,0.4350461959838867,0.75,0.7966,27.30654811859131,0.0003
3433561,330,0.3373223543167114,0.8125,0.8018,28.172868013381958,0.0003
3537942,340,0.3955153822898865,0.75,0.7746,29.016027212142944,0.0003
3644605,350,0.4640607237815857,0.6875,0.7928,29.871757745742798,0.0003
3746840,360,0.34509924054145813,0.8125,0.8,30.752370595932007,0.0003
3853785,370,0.38875114917755127,0.78125,0.803,31.602048635482788,0.0003
3955291,380,0.4123467206954956,0.875,0.8018,32.46258807182312,0.0003
4059068,390,0.44427797198295593,0.75,0.7446,33.351099252700806,0.0003
4164084,400,0.312048077583313,0.90625,0.802,34.21321487426758,0.0003
4266552,410,0.5222964882850647,0.75,0.8054,35.10630989074707,0.0003
4370311,420,0.3997425138950348,0.75,0.8066,35.970327377319336,0.0003
4477518,430,0.4190569519996643,0.78125,0.8064,36.83848834037781,0.0003
4582142,440,0.4248292148113251,0.71875,0.7274,37.735028982162476,0.0003
4686641,450,0.5528634190559387,0.65625,0.8052,38.60013723373413,0.0003
4791319,460,0.33109235763549805,0.84375,0.8036,39.45140314102173,0.0003
4895301,470,0.3912753760814667,0.8125,0.7336,40.27644920349121,0.0003
4999652,480,0.44683602452278137,0.8125,0.8122,41.134655475616455,0.0003
