seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
132160,19,0.4884222745895386,0.8125,0.6502,1.3790626525878906,0.00012127659574468084
264738,38,0.5599374771118164,0.71875,0.6502,6.918766975402832,0.00024255319148936167
398451,57,0.4858704209327698,0.71875,0.7406,12.318362474441528,0.0003
529815,76,0.1651482731103897,0.9375,0.7466,17.685188055038452,0.0003
666811,95,0.4193999469280243,0.75,0.83,23.117023229599,0.0003
797949,114,0.3137069642543793,0.84375,0.8322,28.322612047195435,0.0003
930401,133,0.4432937800884247,0.78125,0.836,32.92742156982422,0.0003
1065474,152,0.28876349329948425,0.84375,0.816,38.12402558326721,0.0003
1198875,171,0.17674526572227478,1.0,0.8484,42.529040575027466,0.0003
1332261,190,0.5304374694824219,0.8125,0.8754,45.97735571861267,0.0003
1467074,209,0.1842069923877716,0.96875,0.89,50.17140603065491,0.0003
1595393,228,0.16543994843959808,0.90625,0.8926,54.55780744552612,0.0003
1727775,247,0.40204161405563354,0.78125,0.8716,57.99592471122742,0.0003
1861458,266,0.19544067978858948,0.84375,0.8902,61.38140892982483,0.0003
1991100,285,0.16392047703266144,0.90625,0.8834,65.29752969741821,0.0003
2125860,304,0.35957232117652893,0.90625,0.8932,69.07744789123535,0.0003
2258639,323,0.17358967661857605,0.9375,0.897,72.95148086547852,0.0003
2393654,342,0.19159626960754395,0.84375,0.8648,77.0666344165802,0.0003
2528381,361,0.11703363806009293,0.9375,0.8842,81.18879985809326,0.0003
2663809,380,0.13497218489646912,0.9375,0.8866,84.91047811508179,0.0003
2791155,399,0.20128943026065826,0.84375,0.8988,88.4402551651001,0.0003
2924202,418,0.2157771736383438,0.875,0.8982,91.68308186531067,0.0003
3054889,437,0.28172099590301514,0.90625,0.9026,95.22170186042786,0.0003
3188176,456,0.3830822706222534,0.78125,0.9024,98.59000778198242,0.0003
3321109,475,0.1704702079296112,0.9375,0.9018,102.51186084747314,0.0003
3453347,494,0.24936909973621368,0.875,0.9098,106.51087474822998,0.0003
3587545,513,0.06151207908987999,1.0,0.9106,110.76202535629272,0.0003
3715825,532,0.5317554473876953,0.84375,0.8964,114.57331490516663,0.0003
3851523,551,0.17711961269378662,0.9375,0.8966,118.57011437416077,0.0003
3981817,570,0.08384693413972855,1.0,0.8938,122.32945823669434,0.0003
4117266,589,0.13784801959991455,0.9375,0.8882,126.43788719177246,0.0003
4251177,608,0.09400562942028046,1.0,0.8974,131.46990084648132,0.0003
4383708,627,0.19264164566993713,0.9375,0.9026,135.4195454120636,0.0003
4516261,646,0.1663326770067215,0.90625,0.9164,140.76259183883667,0.0003
4649702,665,0.12973004579544067,0.9375,0.9118,146.1473307609558,0.0003
4785055,684,0.05900820344686508,1.0,0.9116,151.58623266220093,0.0003
4915983,703,0.13542498648166656,0.96875,0.9152,156.85215306282043,0.0003
5051119,722,0.16514869034290314,0.9375,0.9152,161.47982597351074,0.0003
5181751,741,0.1254587173461914,0.9375,0.9098,166.6197121143341,0.0003
5313597,760,0.10889333486557007,0.9375,0.9136,172.12873792648315,0.0003
5442243,779,0.12406044453382492,1.0,0.9068,177.5158703327179,0.0003
5571469,798,0.05617193877696991,1.0,0.9076,182.8793158531189,0.0003
5706885,817,0.21688677370548248,0.9375,0.9148,188.34019136428833,0.0003
5843797,836,0.25347957015037537,0.875,0.9128,193.31369256973267,0.0003
5974514,855,0.2054121345281601,0.84375,0.9106,197.84340476989746,0.0003
6106125,874,0.17025941610336304,0.9375,0.9154,200.76794147491455,0.0003
6234209,893,0.3453414738178253,0.84375,0.9144,204.58143496513367,0.0003
6370385,912,0.2598473131656647,0.8125,0.9042,208.51209950447083,0.0003
6508765,931,0.17106395959854126,0.875,0.9014,212.4135754108429,0.0003
6637576,950,0.12077272683382034,0.96875,0.917,216.21679639816284,0.0003
