seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
205304,20,0.6911758184432983,0.5625,0.6294,0.8547141551971436,0.00012318239999999997
412628,40,0.6139238476753235,0.65625,0.6586,5.2324302196502686,0.00024757679999999995
616207,60,0.8383761644363403,0.59375,0.6848,9.311623573303223,0.0003
819999,80,0.46285882592201233,0.71875,0.7318,12.918115854263306,0.0003
1028378,100,0.6557937264442444,0.625,0.758,16.9531192779541,0.0003
1228859,119,0.6160504817962646,0.53125,0.7488,19.773138523101807,0.0003
1435847,139,0.5011873841285706,0.6875,0.7776,24.025235652923584,0.0003
1643938,159,0.5370984077453613,0.75,0.7666,28.221372842788696,0.0003
1854032,179,0.321266770362854,0.8125,0.775,32.44612240791321,0.0003
2063882,199,0.28751954436302185,0.84375,0.7566,36.76558971405029,0.0003
2269616,219,0.3253975510597229,0.8125,0.8094,41.19759202003479,0.0003
2469693,238,0.4452497661113739,0.78125,0.8244,45.15242671966553,0.0003
2677628,258,0.4419967532157898,0.71875,0.7554,49.4573757648468,0.0003
2887596,278,0.30618706345558167,0.78125,0.825,53.73115921020508,0.0003
3092965,298,0.28795671463012695,0.90625,0.813,58.75553011894226,0.0003
3299726,318,0.2361399233341217,0.875,0.8372,64.62828826904297,0.0003
3507824,338,0.44718673825263977,0.75,0.8234,69.0189094543457,0.0003
3715183,358,0.31520673632621765,0.78125,0.8566,74.68270373344421,0.0003
3923860,378,0.4179134666919708,0.8125,0.8472,80.4451277256012,0.0003
4130519,398,0.310707151889801,0.84375,0.859,86.22478604316711,0.0003
4331852,417,0.39666643738746643,0.8125,0.8676,91.9302248954773,0.0003
4532294,436,0.2994559705257416,0.84375,0.7838,97.59631752967834,0.0003
4742228,456,0.2476053386926651,0.90625,0.8756,103.20635175704956,0.0003
4942491,475,0.24098019301891327,0.90625,0.883,108.89499640464783,0.0003
5143353,494,0.2100040763616562,0.96875,0.8712,114.58834648132324,0.0003
5347155,513,0.17870935797691345,0.90625,0.8692,120.28139114379883,0.0003
5553719,533,0.34755003452301025,0.75,0.8816,126.0386118888855,0.0003
5755769,552,0.20355147123336792,0.9375,0.8808,131.52992844581604,0.0003
5960053,572,0.26842108368873596,0.875,0.8802,135.37623476982117,0.0003
6162005,591,0.19899237155914307,0.90625,0.877,139.70975279808044,0.0003
6365975,611,0.17203669250011444,0.9375,0.8652,143.76677179336548,0.0003
6566522,630,0.1336500346660614,0.96875,0.8746,147.5601363182068,0.0003
6766959,649,0.0663527250289917,1.0,0.888,151.84987044334412,0.0003
6974948,669,0.35114800930023193,0.78125,0.8626,155.96472716331482,0.0003
7177167,688,0.2998891770839691,0.90625,0.8882,160.45862984657288,0.0003
7381954,708,0.2582938075065613,0.8125,0.8878,164.70460963249207,0.0003
7588229,728,0.21195586025714874,0.90625,0.8942,168.44505548477173,0.0003
7796095,748,0.20927712321281433,0.9375,0.8994,172.2969024181366,0.0003
8004045,768,0.2061305046081543,0.90625,0.9024,175.67840909957886,0.0003
8214140,788,0.3154182732105255,0.875,0.8932,179.8285791873932,0.0003
8420682,808,0.25348660349845886,0.90625,0.8804,184.13389468193054,0.0003
8631217,828,0.29266318678855896,0.84375,0.8962,188.44790840148926,0.0003
8837651,848,0.19794151186943054,0.875,0.896,192.77084493637085,0.0003
9046669,868,0.25554734468460083,0.875,0.8786,197.10364627838135,0.0003
9254180,888,0.2659173309803009,0.875,0.9014,201.37020349502563,0.0003
9457350,907,0.37136611342430115,0.8125,0.887,205.47825694084167,0.0003
9666880,927,0.2763514816761017,0.84375,0.9042,209.7856318950653,0.0003
9868002,946,0.3558913469314575,0.84375,0.9046,215.06487011909485,0.0003
