seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
200282,28,0.6722578406333923,0.5625,0.6576,0.31772351264953613,0.00012016919999999998
405804,58,0.6967432498931885,0.5,0.6532,3.0277318954467773,0.00024348239999999997
605853,87,0.4802432954311371,0.71875,0.6638,4.953399419784546,0.0003
811266,117,0.5513864755630493,0.6875,0.6728,6.701828718185425,0.0003
1011556,146,0.4238678812980652,0.84375,0.7978,8.864105224609375,0.0003
1214386,175,0.30966877937316895,0.90625,0.8304,10.867212772369385,0.0003
1417760,204,0.4049205780029297,0.78125,0.8356,12.877603530883789,0.0003
1619623,233,0.3830227553844452,0.875,0.8786,15.396579265594482,0.0003
1825238,263,0.2842152416706085,0.90625,0.8794,17.59156560897827,0.0003
2032021,293,0.30840426683425903,0.84375,0.8648,19.813499927520752,0.0003
2237567,322,0.17604117095470428,0.90625,0.8202,22.324644565582275,0.0003
2440366,351,0.22331205010414124,0.90625,0.891,24.10573935508728,0.0003
2642663,380,0.2253371626138687,0.9375,0.8898,25.558857917785645,0.0003
2849082,409,0.21842245757579803,0.90625,0.8952,27.15951919555664,0.0003
3053799,438,0.28079986572265625,0.84375,0.8886,28.985382080078125,0.0003
3257300,467,0.24543902277946472,0.90625,0.8982,31.113568544387817,0.0003
3462265,497,0.16599872708320618,0.9375,0.8894,33.17941451072693,0.0003
3670714,526,0.31874221563339233,0.8125,0.8998,35.031493186950684,0.0003
3875703,555,0.1654542088508606,0.96875,0.891,37.00718879699707,0.0003
4076303,584,0.3237658739089966,0.90625,0.8804,38.894412994384766,0.0003
4283355,613,0.17883986234664917,0.90625,0.8966,39.991421937942505,0.0003
4490310,642,0.12487209588289261,0.9375,0.9012,40.83179330825806,0.0003
4693338,671,0.20290270447731018,0.90625,0.9018,41.670183420181274,0.0003
4898847,701,0.43688639998435974,0.78125,0.9028,43.27354550361633,0.0003
5099856,729,0.1385381668806076,0.9375,0.9008,44.64181089401245,0.0003
5305895,758,0.1161450520157814,0.9375,0.9052,46.00017261505127,0.0003
5507694,787,0.19558857381343842,0.9375,0.893,47.3958694934845,0.0003
5710585,816,0.08337815850973129,0.9375,0.909,48.80965995788574,0.0003
5917078,846,0.074553482234478,0.96875,0.9046,50.13455367088318,0.0003
6122717,875,0.07562806457281113,1.0,0.907,51.460989236831665,0.0003
6328958,905,0.26988235116004944,0.90625,0.8724,52.74863862991333,0.0003
6531878,934,0.2627166509628296,0.84375,0.9082,54.05830502510071,0.0003
6732450,962,0.11179963499307632,0.90625,0.8992,55.368386030197144,0.0003
6937994,992,0.3020627796649933,0.8125,0.9128,56.749001026153564,0.0003
7140434,1021,0.2605752944946289,0.875,0.8928,58.00754690170288,0.0003
7342898,1050,0.12153548747301102,0.90625,0.912,59.362340450286865,0.0003
7543721,1079,0.22104908525943756,0.8125,0.9122,60.75190758705139,0.0003
7744165,1108,0.1868736445903778,0.875,0.893,62.073837995529175,0.0003
7947800,1137,0.13590013980865479,0.9375,0.9124,63.45062065124512,0.0003
8149087,1166,0.2030121088027954,0.90625,0.904,64.78674936294556,0.0003
8351258,1195,0.3086511790752411,0.8125,0.9062,66.20205092430115,0.0003
8553881,1223,0.23642650246620178,0.90625,0.9074,67.71715807914734,0.0003
8754685,1252,0.30787134170532227,0.78125,0.9102,69.44496250152588,0.0003
8958040,1281,0.17497672140598297,0.90625,0.9152,71.2194561958313,0.0003
9159564,1310,0.1954638659954071,0.875,0.9054,72.95013618469238,0.0003
9364906,1339,0.224845290184021,0.90625,0.9154,74.79448962211609,0.0003
9570894,1368,0.15425294637680054,0.90625,0.9152,76.15741491317749,0.0003
9771395,1397,0.27739381790161133,0.875,0.916,77.00119662284851,0.0003
9974238,1425,0.15955114364624023,0.9375,0.9168,78.66213321685791,0.0003
