seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
204243,16,0.7258180975914001,0.40625,0.5446,0.3894519805908203,0.0001225458
405695,32,0.6744661331176758,0.6875,0.6406,1.9177567958831787,0.00024341699999999995
607769,48,0.6522200703620911,0.53125,0.4554,3.4655227661132812,0.0003
811908,64,0.6359571218490601,0.65625,0.6496,5.062247276306152,0.0003
1016108,80,0.666178822517395,0.65625,0.6928,6.486327648162842,0.0003
1216615,96,0.7409610748291016,0.59375,0.6984,8.296793699264526,0.0003
1423348,112,0.5128247737884521,0.71875,0.6924,10.306057214736938,0.0003
1628955,128,0.6137637495994568,0.625,0.7118,12.815619230270386,0.0003
1829989,144,0.514186680316925,0.6875,0.714,15.060004234313965,0.0003
2032944,160,0.5382178425788879,0.65625,0.7158,16.936042308807373,0.0003
2235280,176,0.5200687050819397,0.75,0.7214,19.240307331085205,0.0003
2440059,192,0.4691162109375,0.75,0.7298,21.255874633789062,0.0003
2644469,208,0.44131195545196533,0.84375,0.753,22.955715656280518,0.0003
2847635,224,0.5549592971801758,0.65625,0.7458,24.989526987075806,0.0003
3050339,240,0.4483802616596222,0.75,0.7794,27.208123922348022,0.0003
3253031,256,0.5712582468986511,0.71875,0.7652,29.191258192062378,0.0003
3456859,272,0.4233914613723755,0.78125,0.77,31.473277807235718,0.0003
3660449,288,0.6751540303230286,0.71875,0.7884,33.59672164916992,0.0003
3864457,304,0.506567120552063,0.71875,0.7838,35.38166570663452,0.0003
4067566,320,0.4394427239894867,0.8125,0.774,37.53759789466858,0.0003
4268307,336,0.36992180347442627,0.8125,0.7814,39.62797451019287,0.0003
4470586,352,0.3982695937156677,0.84375,0.785,41.96066451072693,0.0003
4675349,368,0.40628185868263245,0.8125,0.7932,43.85641384124756,0.0003
4878376,384,0.29552313685417175,0.875,0.7938,46.07475924491882,0.0003
5079198,400,0.5019659399986267,0.625,0.7684,48.14250326156616,0.0003
5283107,416,0.5297059416770935,0.71875,0.7734,50.34229493141174,0.0003
5483601,432,0.4393783211708069,0.78125,0.7816,52.8875834941864,0.0003
5686960,448,0.4716615080833435,0.6875,0.7928,54.74918246269226,0.0003
5890410,464,0.4343823194503784,0.71875,0.7456,56.68592953681946,0.0003
6093408,480,0.4436308741569519,0.65625,0.726,58.648279905319214,0.0003
6294309,496,0.5081013441085815,0.71875,0.7768,60.188454151153564,0.0003
6499089,512,0.3972175419330597,0.78125,0.8042,60.92084884643555,0.0003
6702149,528,0.5362240076065063,0.75,0.8004,61.68383264541626,0.0003
6905868,544,0.47501105070114136,0.6875,0.7648,62.44175457954407,0.0003
7110211,560,0.32168295979499817,0.78125,0.7952,63.713146924972534,0.0003
7314330,576,0.34417471289634705,0.84375,0.8134,64.94429349899292,0.0003
7516860,592,0.4272463023662567,0.75,0.801,66.22825312614441,0.0003
7722086,608,0.400414377450943,0.78125,0.8082,67.48883748054504,0.0003
7925944,624,0.3571062982082367,0.78125,0.7982,68.78992700576782,0.0003
8127059,640,0.630201518535614,0.625,0.779,70.12625694274902,0.0003
8327828,656,0.2527927756309509,0.875,0.819,71.37823009490967,0.0003
8529007,672,0.3997179865837097,0.8125,0.8068,72.60432243347168,0.0003
8732022,688,0.4051741361618042,0.875,0.7716,73.8872971534729,0.0003
8935830,704,0.35079681873321533,0.84375,0.8044,75.1302719116211,0.0003
9139266,720,0.37074220180511475,0.75,0.7766,76.42967438697815,0.0003
9344371,736,0.3990231156349182,0.78125,0.8194,77.55823922157288,0.0003
9551061,752,0.37590426206588745,0.875,0.827,78.76083731651306,0.0003
9755217,768,0.3707699477672577,0.8125,0.8058,79.97743916511536,0.0003
9957523,784,0.3797496557235718,0.8125,0.8196,81.20356273651123,0.0003
