seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
207760,20,0.6543901562690735,0.65625,0.5446,0.4075472354888916,0.00012465599999999998
418354,40,0.6320656538009644,0.75,0.6024,1.8378896713256836,0.0002510124
627931,60,0.7546641230583191,0.5,0.6058,3.2270565032958984,0.0003
828329,79,0.5553274750709534,0.71875,0.6496,4.59710168838501,0.0003
1029761,98,0.5756248831748962,0.71875,0.688,6.002061367034912,0.0003
1231842,117,0.5821232795715332,0.59375,0.702,7.3543541431427,0.0003
1431992,136,0.5470380783081055,0.75,0.7444,8.744303703308105,0.0003
1640562,156,0.6990025639533997,0.71875,0.7472,10.151881694793701,0.0003
1841412,175,0.6813865900039673,0.53125,0.7112,11.539502620697021,0.0003
2041806,194,0.5228918790817261,0.625,0.7324,12.907054901123047,0.0003
2249257,214,0.3180069327354431,0.90625,0.7608,14.290371417999268,0.0003
2456389,234,0.5780087113380432,0.75,0.7654,15.699146747589111,0.0003
2656987,253,0.3691384494304657,0.875,0.796,16.984304904937744,0.0003
2866482,273,0.4624994695186615,0.65625,0.7878,18.54977321624756,0.0003
3067725,292,0.48156091570854187,0.65625,0.7766,20.25164556503296,0.0003
3274501,312,0.3112211227416992,0.875,0.7948,21.822360277175903,0.0003
3482027,332,0.4471811056137085,0.75,0.7974,23.752126455307007,0.0003
3682471,351,0.4146594703197479,0.78125,0.7948,25.564491033554077,0.0003
3883618,370,0.3752807676792145,0.84375,0.8046,27.3541476726532,0.0003
4092472,390,0.35669317841529846,0.8125,0.8054,28.918014764785767,0.0003
4301939,410,0.26214316487312317,0.875,0.8048,30.782646656036377,0.0003
4503349,429,0.33009034395217896,0.875,0.8138,32.49008274078369,0.0003
4711872,449,0.43202871084213257,0.84375,0.8054,34.02997374534607,0.0003
4921273,469,0.49847158789634705,0.75,0.8106,35.60898280143738,0.0003
5130351,489,0.4710090458393097,0.71875,0.8216,37.33672094345093,0.0003
5339353,509,0.3283971846103668,0.875,0.8096,38.76296138763428,0.0003
5546734,529,0.39567017555236816,0.8125,0.8372,40.19764065742493,0.0003
5753162,549,0.23736584186553955,0.90625,0.8428,41.962244749069214,0.0003
5959641,569,0.20013393461704254,0.90625,0.8376,43.5507333278656,0.0003
6167553,589,0.26232051849365234,0.875,0.8432,45.07553672790527,0.0003
6376356,609,0.3676517605781555,0.78125,0.7952,46.724555253982544,0.0003
6585513,629,0.27746647596359253,0.875,0.8284,48.503368854522705,0.0003
6793295,649,0.219251349568367,0.90625,0.836,50.264156341552734,0.0003
7001568,669,0.3401663303375244,0.875,0.8274,51.72023963928223,0.0003
7211480,689,0.4202319085597992,0.78125,0.853,53.536057233810425,0.0003
7421050,709,0.6967996954917908,0.71875,0.866,55.04849028587341,0.0003
7630787,729,0.1725391149520874,0.90625,0.8428,56.71557068824768,0.0003
7839344,749,0.3514138162136078,0.8125,0.8838,58.34943222999573,0.0003
8049800,769,0.45506107807159424,0.75,0.8826,60.30814027786255,0.0003
8250619,788,0.19280077517032623,0.90625,0.877,62.71806812286377,0.0003
8457837,808,0.18656833469867706,0.9375,0.8884,64.78441143035889,0.0003
8667997,828,0.2241392582654953,0.875,0.8928,66.68543219566345,0.0003
8876711,848,0.1296052634716034,0.9375,0.8956,68.06739807128906,0.0003
9085523,868,0.3085535168647766,0.84375,0.8712,68.65031838417053,0.0003
9295664,888,0.19170992076396942,0.90625,0.8926,69.23413419723511,0.0003
9505447,908,0.18198910355567932,0.9375,0.8954,69.82028675079346,0.0003
9711989,928,0.21768949925899506,0.9375,0.9014,70.41313099861145,0.0003
9919398,948,0.34458819031715393,0.9375,0.8972,71.78075623512268,0.0003
