tokenizer,backbone,seed,vocab,max_len,total_tokens,acc,avg_len,p95_len,distortion_hat,p95_latency_ms,n_params,params_m
BPE,mini,0,2048,512,1000000,0.8333503941037977,106.31292865185792,111,0.20627027908430753,1.62716805934906,3815426,3.815426
BPE,small,0,2048,512,1000000,0.7606715119254785,106.31292865185792,111,0.20627027908430753,5.996543884277344,11631362,11.631362
WordPiece,mini,0,2048,512,1000000,0.8400040945849114,106.44098679496366,112,0.1836841200630814,1.628159999847412,3815426,3.815426
WordPiece,small,0,2048,512,1000000,0.7274030095199099,106.44098679496366,112,0.1836841200630814,5.983232021331787,11631362,11.631362
Unigram,mini,0,2048,512,1000000,0.8255706827720339,232.96079434947282,245,0.28791169467047967,5.483520030975342,3815426,3.815426
Unigram,small,0,2048,512,1000000,0.7606715119254785,232.96079434947282,245,0.28791169467047967,15.054847717285156,11631362,11.631362
Bytes,mini,0,2048,512,1000000,0.7429624321834374,336.47783805916674,347,0.28698293943442005,9.294848442077637,3815426,3.815426
Bytes,small,0,2048,512,1000000,0.7606715119254785,336.47783805916674,347,0.28698293943442005,20.606975555419922,11631362,11.631362
CIT,mini,0,2048,512,1000000,0.8304841846657796,60.534548060190396,69,0.13812096784252623,1.3742079734802246,3815426,3.815426
CIT,small,0,2048,512,1000000,0.8352953219367386,60.534548060190396,69,0.13812096784252623,4.709695816040039,11631362,11.631362
