seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
199531,19,0.6725171804428101,0.5625,0.5868,0.5922555923461914,0.00012127659574468084
401800,38,0.6087026596069336,0.5625,0.6802,2.767137050628662,0.00024255319148936167
598451,57,0.601197361946106,0.71875,0.6152,4.941769599914551,0.0003
798566,76,0.4805437922477722,0.8125,0.7428,7.114167928695679,0.0003
993652,95,0.5839319825172424,0.6875,0.7754,9.289189338684082,0.0003
1190014,114,0.5534933805465698,0.6875,0.7724,11.466629266738892,0.0003
1392368,133,0.7499017119407654,0.78125,0.753,13.644808769226074,0.0003
1596442,152,0.5896641612052917,0.6875,0.7794,15.818090200424194,0.0003
1793679,171,0.37210312485694885,0.8125,0.7784,17.997285842895508,0.0003
1990296,190,0.33031052350997925,0.78125,0.7514,20.168744802474976,0.0003
2190037,209,0.45021533966064453,0.78125,0.7854,22.353522062301636,0.0003
2389979,228,0.3681366741657257,0.875,0.7882,24.530704736709595,0.0003
2587349,247,0.4612843990325928,0.71875,0.7584,26.709033727645874,0.0003
2779644,266,0.290149986743927,0.875,0.7744,28.872165203094482,0.0003
2974265,285,0.33984774351119995,0.75,0.7716,31.03360891342163,0.0003
3171373,304,0.376410573720932,0.875,0.793,33.20966053009033,0.0003
3370904,323,0.3648746609687805,0.75,0.7984,35.38459014892578,0.0003
3568753,342,0.442891001701355,0.8125,0.7984,37.5554141998291,0.0003
3766998,361,0.5113287568092346,0.625,0.7834,39.73436880111694,0.0003
3964091,380,0.3572005033493042,0.78125,0.7924,41.908443450927734,0.0003
4161178,399,0.2909015715122223,0.8125,0.729,44.08343768119812,0.0003
4361625,418,0.38980406522750854,0.84375,0.8238,46.2591278553009,0.0003
4560787,437,0.422859251499176,0.71875,0.8144,48.42962050437927,0.0003
4760296,456,0.4808354079723358,0.6875,0.7806,50.60426688194275,0.0003
4957165,475,0.32002919912338257,0.8125,0.8504,52.781378984451294,0.0003
5153545,494,0.38906002044677734,0.75,0.838,54.96378684043884,0.0003
5352299,513,0.29841089248657227,0.875,0.86,57.13476085662842,0.0003
5550973,532,0.2437484711408615,0.9375,0.8602,59.311683893203735,0.0003
5749138,551,0.37988904118537903,0.8125,0.8496,61.490389585494995,0.0003
5944705,570,0.2383924275636673,0.875,0.8702,63.667914152145386,0.0003
6140410,589,0.22809141874313354,0.875,0.8692,65.83720517158508,0.0003
6337646,608,0.43212565779685974,0.78125,0.8566,68.01725101470947,0.0003
6534606,627,0.15940190851688385,0.9375,0.869,70.18770909309387,0.0003
6733745,646,0.3743607997894287,0.8125,0.7716,72.36079049110413,0.0003
6933349,665,0.12222442030906677,0.9375,0.8696,74.54226016998291,0.0003
7132861,684,0.33136236667633057,0.71875,0.8624,76.72045397758484,0.0003
7335821,703,0.23725801706314087,0.875,0.8848,78.90009021759033,0.0003
7532104,722,0.22617578506469727,0.90625,0.8482,81.08024668693542,0.0003
7726549,741,0.22924867272377014,0.875,0.886,83.25063490867615,0.0003
7924742,760,0.16061362624168396,0.96875,0.8824,85.41384363174438,0.0003
8121273,779,0.273840069770813,0.84375,0.8968,87.5951087474823,0.0003
8322015,798,0.2896406650543213,0.875,0.8988,89.77781367301941,0.0003
8522877,817,0.20513556897640228,0.875,0.889,91.95008111000061,0.0003
8721364,836,0.24492673575878143,0.90625,0.898,94.12380123138428,0.0003
8915705,855,0.4144326448440552,0.84375,0.9026,96.29215431213379,0.0003
9114884,874,0.27741900086402893,0.84375,0.9012,98.46789002418518,0.0003
9308876,893,0.25081148743629456,0.875,0.902,100.62924361228943,0.0003
9507473,912,0.22682109475135803,0.9375,0.9076,102.80859422683716,0.0003
9709234,931,0.25696906447410583,0.90625,0.8968,104.99419021606445,0.0003
9907554,950,0.24312245845794678,0.84375,0.8954,107.18407654762268,0.0003
