seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
200178,19,0.7238092422485352,0.46875,0.5446,0.1490497589111328,0.00012127659574468084
399947,38,0.6653580665588379,0.5625,0.5902,0.7218303680419922,0.00024255319148936167
599233,57,0.6299300789833069,0.59375,0.6194,1.292522668838501,0.0003
797397,76,0.579603910446167,0.6875,0.6814,1.8622674942016602,0.0003
997514,95,0.5167919993400574,0.78125,0.6996,2.4330263137817383,0.0003
1195600,114,0.5373525023460388,0.75,0.7062,3.0037968158721924,0.0003
1394955,133,0.42159613966941833,0.84375,0.7072,3.5738792419433594,0.0003
1591969,152,0.568792998790741,0.65625,0.708,4.143716812133789,0.0003
1791560,171,0.4291766285896301,0.84375,0.7472,4.713260889053345,0.0003
1990915,190,0.5397324562072754,0.78125,0.7666,5.283481597900391,0.0003
2189324,209,0.4756632447242737,0.75,0.761,5.854779958724976,0.0003
2382497,228,0.6464735269546509,0.625,0.727,6.423019647598267,0.0003
2582782,247,0.5391114354133606,0.6875,0.7778,6.992828369140625,0.0003
2779658,266,0.4040570557117462,0.78125,0.7022,7.56351637840271,0.0003
2975221,285,0.3788953125476837,0.75,0.7754,8.131028175354004,0.0003
3171046,304,0.4769250750541687,0.78125,0.7856,8.69809365272522,0.0003
3368054,323,0.5344141721725464,0.625,0.7852,9.266656160354614,0.0003
3563719,342,0.4576493501663208,0.71875,0.7956,9.83455228805542,0.0003
3760495,361,0.49669507145881653,0.6875,0.7272,10.402277946472168,0.0003
3959563,380,0.4900357127189636,0.75,0.7948,10.969946384429932,0.0003
4156699,399,0.4654867351055145,0.75,0.7938,11.536591291427612,0.0003
4353396,418,0.33838245272636414,0.84375,0.8,12.10377550125122,0.0003
4552479,437,0.4469829797744751,0.71875,0.7798,12.673856258392334,0.0003
4746255,456,0.4667631685733795,0.71875,0.774,13.243944644927979,0.0003
4945058,475,0.32579901814460754,0.90625,0.7998,13.815705299377441,0.0003
5143135,494,0.23966319859027863,0.90625,0.8,14.385133981704712,0.0003
5341078,513,0.399044394493103,0.75,0.7764,14.98133373260498,0.0003
5540012,532,0.38699910044670105,0.75,0.7146,15.551657915115356,0.0003
5735163,551,0.3716706931591034,0.6875,0.7844,16.120816946029663,0.0003
5936765,570,0.3869524896144867,0.78125,0.8108,16.6911563873291,0.0003
6134093,589,0.22259221971035004,0.875,0.7614,17.26260757446289,0.0003
6333192,608,0.391937792301178,0.78125,0.7486,17.833196878433228,0.0003
6535704,627,0.40980061888694763,0.78125,0.8148,18.40492010116577,0.0003
6734286,646,0.5475969910621643,0.78125,0.8088,18.975223302841187,0.0003
6932298,665,0.39922231435775757,0.78125,0.807,19.546431064605713,0.0003
7128641,684,0.36126014590263367,0.78125,0.7906,20.116788864135742,0.0003
7328746,703,0.3978002071380615,0.8125,0.8008,20.687801361083984,0.0003
7526888,722,0.3740369379520416,0.78125,0.7884,21.259682416915894,0.0003
7725566,741,0.3438088595867157,0.8125,0.8298,21.83041763305664,0.0003
7929626,760,0.40409472584724426,0.84375,0.8338,22.40753173828125,0.0003
8126123,779,0.28394967317581177,0.84375,0.8362,22.97563147544861,0.0003
8324570,798,0.33879008889198303,0.90625,0.8376,23.549795866012573,0.0003
8521260,817,0.2770082950592041,0.875,0.8354,24.12116289138794,0.0003
8721602,836,0.3580266833305359,0.84375,0.8522,24.691704273223877,0.0003
8922137,855,0.2523796260356903,0.875,0.8544,25.261276960372925,0.0003
9120789,874,0.23813578486442566,0.875,0.8366,25.831616163253784,0.0003
9315330,893,0.35606980323791504,0.8125,0.819,26.402400732040405,0.0003
9511901,912,0.3936311602592468,0.78125,0.8588,26.972743272781372,0.0003
9706293,931,0.3003283143043518,0.875,0.865,27.57572889328003,0.0003
9903488,950,0.15571308135986328,0.90625,0.8768,28.15015172958374,0.0003
