seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
240216,19,0.7195663452148438,0.46875,0.5446,0.14659619331359863,0.00012127659574468084
480488,38,0.6735503673553467,0.46875,0.4554,0.7279894351959229,0.00024255319148936167
718791,57,0.7042228579521179,0.4375,0.6356,1.3104536533355713,0.0003
960552,76,0.48708412051200867,0.8125,0.6706,1.8908607959747314,0.0003
1203593,95,0.56944739818573,0.625,0.7032,2.472299814224243,0.0003
1445753,114,0.6251319646835327,0.6875,0.7086,3.0518436431884766,0.0003
1688609,133,0.49017372727394104,0.78125,0.6956,3.6332662105560303,0.0003
1934344,152,0.5532636642456055,0.59375,0.7024,4.212940216064453,0.0003
2174731,171,0.4108770191669464,0.875,0.728,4.792884826660156,0.0003
2414294,190,0.3183961808681488,0.90625,0.7132,5.372403144836426,0.0003
2656847,209,0.49798908829689026,0.71875,0.7174,5.952052116394043,0.0003
2897806,228,0.445350706577301,0.78125,0.7472,6.53662371635437,0.0003
3138306,247,0.4920630156993866,0.78125,0.7414,7.116397142410278,0.0003
3377443,266,0.3486945629119873,0.78125,0.7434,7.696353435516357,0.0003
3620882,285,0.501666247844696,0.75,0.7404,8.27561616897583,0.0003
3861467,304,0.5790718197822571,0.71875,0.7732,8.85517168045044,0.0003
4104166,323,0.50117427110672,0.71875,0.764,9.437729120254517,0.0003
4344570,342,0.5192210674285889,0.75,0.781,10.023187398910522,0.0003
4582971,361,0.4546174705028534,0.6875,0.7888,10.603801250457764,0.0003
4824300,380,0.5304399132728577,0.8125,0.7806,11.184584379196167,0.0003
5061037,399,0.36570632457733154,0.8125,0.7854,11.764111042022705,0.0003
5303824,418,0.4410786032676697,0.8125,0.7856,12.344979763031006,0.0003
5544135,437,0.32287922501564026,0.875,0.7362,12.924883365631104,0.0003
5788576,456,0.32896801829338074,0.84375,0.7946,13.505303621292114,0.0003
6027204,475,0.42442265152931213,0.78125,0.7554,14.08742642402649,0.0003
6270652,494,0.346289724111557,0.78125,0.7948,14.66770052909851,0.0003
6512976,513,0.3513081967830658,0.875,0.7888,15.247734785079956,0.0003
6753943,532,0.372008353471756,0.8125,0.8022,15.827835083007812,0.0003
6991932,551,0.33897915482521057,0.84375,0.7936,16.40824580192566,0.0003
7235232,570,0.4297208786010742,0.75,0.737,16.989519596099854,0.0003
7478867,589,0.4498654305934906,0.75,0.8108,17.56952667236328,0.0003
7722758,608,0.6154589056968689,0.6875,0.8066,18.14989948272705,0.0003
7962825,627,0.5015920996665955,0.65625,0.8162,18.73078227043152,0.0003
8205029,646,0.4022948145866394,0.8125,0.813,19.31057047843933,0.0003
8445777,665,0.4513448178768158,0.8125,0.8088,19.890623092651367,0.0003
8689411,684,0.4823908805847168,0.78125,0.8236,20.46994185447693,0.0003
8930153,703,0.3094208538532257,0.8125,0.816,21.049696683883667,0.0003
9171692,722,0.40540796518325806,0.8125,0.8226,21.629716634750366,0.0003
9413792,741,0.3840954601764679,0.78125,0.8148,22.2091121673584,0.0003
9659005,760,0.4075937867164612,0.78125,0.803,22.78900957107544,0.0003
9896860,779,0.3388547897338867,0.8125,0.8208,23.36883783340454,0.0003
10140284,798,0.2767632007598877,0.8125,0.8238,23.949355125427246,0.0003
10382525,817,0.30553707480430603,0.8125,0.8128,24.52909755706787,0.0003
10619923,836,0.264918714761734,0.875,0.8244,25.108811616897583,0.0003
10861984,855,0.4479081332683563,0.84375,0.8128,25.68904995918274,0.0003
11102283,874,0.44960087537765503,0.8125,0.8498,26.269958972930908,0.0003
11343015,893,0.4710327684879303,0.75,0.8432,26.850991010665894,0.0003
11584305,912,0.37821242213249207,0.75,0.8494,27.431934356689453,0.0003
11827847,931,0.39471712708473206,0.84375,0.8418,28.01292610168457,0.0003
12067856,950,0.4696851074695587,0.78125,0.8364,28.592719078063965,0.0003
