seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
197047,19,0.6876813173294067,0.5,0.6042,0.14578843116760254,0.00012127659574468084
393114,38,0.6881415843963623,0.4375,0.5352,0.7159368991851807,0.00024255319148936167
593326,57,0.7530626058578491,0.4375,0.4554,1.2883477210998535,0.0003
791250,76,0.5949110388755798,0.65625,0.6346,1.8612875938415527,0.0003
993078,95,0.5269836187362671,0.75,0.6914,2.4325926303863525,0.0003
1188963,114,0.5701779723167419,0.75,0.7068,3.0052859783172607,0.0003
1385146,133,0.5356984734535217,0.75,0.7398,3.5770325660705566,0.0003
1585667,152,0.44719791412353516,0.78125,0.754,4.14894962310791,0.0003
1781599,171,0.49659159779548645,0.71875,0.7644,4.720626354217529,0.0003
1985689,190,0.5460699200630188,0.625,0.733,5.293047666549683,0.0003
2183935,209,0.3100719749927521,0.8125,0.793,5.8661205768585205,0.0003
2383912,228,0.33472922444343567,0.875,0.7872,6.437804460525513,0.0003
2582527,247,0.42623141407966614,0.75,0.7616,7.009811878204346,0.0003
2786259,266,0.33651748299598694,0.8125,0.7962,7.5829644203186035,0.0003
2985492,285,0.4475638270378113,0.78125,0.805,8.154397249221802,0.0003
3185463,304,0.5234649777412415,0.71875,0.7882,8.725932598114014,0.0003
3382182,323,0.3857334852218628,0.84375,0.8092,9.297089576721191,0.0003
3580216,342,0.41584300994873047,0.75,0.7852,9.869600057601929,0.0003
3775269,361,0.4699443280696869,0.71875,0.8058,10.444469690322876,0.0003
3973594,380,0.36381712555885315,0.8125,0.8082,11.015749454498291,0.0003
4177957,399,0.25560423731803894,0.90625,0.81,11.589006185531616,0.0003
4377653,418,0.46901246905326843,0.8125,0.782,12.16128921508789,0.0003
4575849,437,0.3582046926021576,0.8125,0.8036,12.733978748321533,0.0003
4771187,456,0.4989832043647766,0.71875,0.8254,13.305674314498901,0.0003
4970292,475,0.4487338364124298,0.71875,0.815,13.883097648620605,0.0003
5167485,494,0.33469951152801514,0.90625,0.8376,14.457874774932861,0.0003
5365500,513,0.241886168718338,0.90625,0.8394,15.030731916427612,0.0003
5567911,532,0.35148078203201294,0.84375,0.8068,15.60368824005127,0.0003
5769715,551,0.2558102607727051,0.875,0.8522,16.176125288009644,0.0003
5968622,570,0.3609406054019928,0.84375,0.845,16.749667406082153,0.0003
6165903,589,0.300275981426239,0.84375,0.8454,17.320990085601807,0.0003
6367700,608,0.31187453866004944,0.875,0.8482,17.892988920211792,0.0003
6566125,627,0.23074133694171906,0.875,0.863,18.46665096282959,0.0003
6763664,646,0.3421018123626709,0.875,0.8442,19.037657260894775,0.0003
6959124,665,0.3234057128429413,0.84375,0.8654,19.610299587249756,0.0003
7156589,684,0.43520674109458923,0.84375,0.8664,20.18255305290222,0.0003
7353013,703,0.3245876729488373,0.84375,0.8486,20.75368070602417,0.0003
7556222,722,0.11345348507165909,0.96875,0.8728,21.326226234436035,0.0003
7753474,741,0.3395673632621765,0.8125,0.8586,21.89734721183777,0.0003
7956816,760,0.2471139281988144,0.875,0.8644,22.468895435333252,0.0003
8154896,779,0.21911011636257172,0.875,0.8658,23.041028261184692,0.0003
8352408,798,0.2907088100910187,0.875,0.8168,23.614198923110962,0.0003
8553158,817,0.3667452931404114,0.8125,0.8326,24.18725299835205,0.0003
8756093,836,0.1622912734746933,0.9375,0.8922,24.759097814559937,0.0003
8953845,855,0.18774031102657318,0.9375,0.8834,25.34148073196411,0.0003
9148740,874,0.34636813402175903,0.78125,0.8964,25.91242504119873,0.0003
9345500,893,0.2415410429239273,0.875,0.8966,26.483564615249634,0.0003
9542186,912,0.21044421195983887,0.90625,0.8992,27.054977655410767,0.0003
9744552,931,0.19785034656524658,0.84375,0.8988,27.62724804878235,0.0003
9942319,950,0.375029593706131,0.84375,0.9006,28.197998046875,0.0003
