seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
202180,29,0.7557429075241089,0.5625,0.6588,0.8068275451660156,0.00012130799999999998
404223,58,0.5603658556938171,0.6875,0.6288,3.1447436809539795,0.00024253379999999996
607922,87,0.3569522202014923,0.875,0.7598,5.474298715591431,0.0003
813279,116,0.5943761467933655,0.6875,0.7942,7.826430320739746,0.0003
1020022,145,0.38734960556030273,0.75,0.8658,10.163041114807129,0.0003
1226884,174,0.22300857305526733,0.90625,0.8486,12.536989450454712,0.0003
1427720,203,0.24156272411346436,0.875,0.8312,14.887517213821411,0.0003
1635116,233,0.41431134939193726,0.75,0.8746,17.216500759124756,0.0003
1840269,262,0.5337691307067871,0.78125,0.8656,19.568275690078735,0.0003
2041599,291,0.24508549273014069,0.90625,0.8938,21.901904821395874,0.0003
2243571,320,0.24913309514522552,0.875,0.8962,24.238957166671753,0.0003
2446410,349,0.32935982942581177,0.9375,0.893,26.58006763458252,0.0003
2650436,379,0.19040459394454956,0.875,0.891,28.96919298171997,0.0003
2856372,408,0.16501806676387787,0.9375,0.9044,31.324013471603394,0.0003
3059947,437,0.15462596714496613,0.90625,0.9078,33.6411817073822,0.0003
3262215,466,0.23088239133358002,0.9375,0.8838,35.974750995635986,0.0003
3463787,495,0.34884998202323914,0.84375,0.9014,38.333961486816406,0.0003
3664380,524,0.16945713758468628,0.9375,0.9048,40.66763520240784,0.0003
3866388,553,0.2823808491230011,0.90625,0.8948,43.0125675201416,0.0003
4072585,582,0.19860853254795074,0.875,0.9022,45.35030913352966,0.0003
4273073,611,0.29875171184539795,0.8125,0.9126,47.6947660446167,0.0003
4476075,640,0.17002400755882263,0.9375,0.9028,50.002243995666504,0.0003
4681908,669,0.21188119053840637,0.84375,0.903,52.32071375846863,0.0003
4886104,698,0.20864446461200714,0.875,0.9086,54.664146900177,0.0003
5091740,727,0.22852037847042084,0.90625,0.9118,57.010788440704346,0.0003
5294241,757,0.10521429032087326,0.9375,0.911,59.38100266456604,0.0003
5499951,786,0.13084743916988373,0.9375,0.9178,61.7463481426239,0.0003
5703672,816,0.0913543626666069,0.96875,0.8996,64.10436654090881,0.0003
5910024,845,0.1998233050107956,0.90625,0.9094,66.46030950546265,0.0003
6114285,875,0.10585900396108627,0.96875,0.9156,68.80633568763733,0.0003
6316865,904,0.12023331969976425,0.9375,0.8994,71.14753913879395,0.0003
6522281,933,0.08181623369455338,1.0,0.909,73.51478219032288,0.0003
6722342,962,0.14959149062633514,0.875,0.9158,75.85423040390015,0.0003
6924774,990,0.08166345208883286,0.96875,0.9084,78.18384456634521,0.0003
7131639,1020,0.14357098937034607,0.9375,0.9162,80.55470824241638,0.0003
7335484,1050,0.08383592218160629,0.9375,0.9024,82.89640522003174,0.0003
7539691,1079,0.1427309513092041,0.9375,0.9054,85.22562623023987,0.0003
7742521,1108,0.20105189085006714,0.875,0.9194,87.58056950569153,0.0003
7947369,1137,0.20963746309280396,0.9375,0.9098,89.92979860305786,0.0003
8152151,1166,0.15373148024082184,0.9375,0.9174,92.30148696899414,0.0003
8358998,1196,0.1619284749031067,0.9375,0.9134,94.65509247779846,0.0003
8560988,1225,0.2690126299858093,0.875,0.9026,97.01664614677429,0.0003
8762819,1253,0.08927140384912491,0.9375,0.919,99.34054851531982,0.0003
8969367,1283,0.16807253658771515,0.9375,0.9202,101.67692518234253,0.0003
9170396,1312,0.16277538239955902,0.96875,0.9234,104.00755214691162,0.0003
9376957,1342,0.28643321990966797,0.875,0.9148,106.39467096328735,0.0003
9580429,1371,0.09393145143985748,0.96875,0.9072,108.73426628112793,0.0003
9783560,1400,0.06713617593050003,0.96875,0.9182,111.04589700698853,0.0003
9987448,1429,0.2628629803657532,0.875,0.9088,113.39706563949585,0.0003
