seen_tokens,seen_steps,train_loss,train_acc,val_acc,wall_s,lr
202469,19,0.6728799939155579,0.59375,0.5446,0.31584739685058594,0.0001214814
407216,39,0.6657233834266663,0.59375,0.6066,0.8971178531646729,0.0002443296
613228,59,0.7876266241073608,0.375,0.619,1.4755833148956299,0.0003
817232,79,0.5880721807479858,0.6875,0.6752,2.0568666458129883,0.0003
1024971,99,0.5629296898841858,0.71875,0.7204,2.6372170448303223,0.0003
1232486,119,0.44127270579338074,0.8125,0.7546,3.2160511016845703,0.0003
1441778,139,0.4558432400226593,0.75,0.765,3.815974473953247,0.0003
1650320,159,0.4004785716533661,0.78125,0.7688,4.395870685577393,0.0003
1859429,179,0.2931489944458008,0.8125,0.757,4.975395679473877,0.0003
2069522,199,0.46051713824272156,0.6875,0.7838,5.554867506027222,0.0003
2277594,219,0.5506176352500916,0.71875,0.7868,6.141682386398315,0.0003
2486486,239,0.5162504315376282,0.71875,0.7714,6.722004175186157,0.0003
2693015,259,0.49517378211021423,0.71875,0.7768,7.302047252655029,0.0003
2901231,279,0.529201090335846,0.78125,0.787,7.8825483322143555,0.0003
3108150,299,0.3006317913532257,0.875,0.7728,8.462724447250366,0.0003
3318829,319,0.4133268892765045,0.78125,0.7924,9.039994716644287,0.0003
3527144,339,0.5447568297386169,0.6875,0.7968,9.620322227478027,0.0003
3736869,359,0.6425504088401794,0.71875,0.8008,10.200469255447388,0.0003
3945515,379,0.3209306597709656,0.84375,0.8028,10.78062105178833,0.0003
4153871,399,0.36389872431755066,0.8125,0.8002,11.368005275726318,0.0003
4360458,419,0.2922145128250122,0.90625,0.806,11.945611238479614,0.0003
4570793,439,0.4548458456993103,0.75,0.7632,12.525816679000854,0.0003
4781310,459,0.40716201066970825,0.8125,0.8042,13.10563039779663,0.0003
4989118,479,0.2773277461528778,0.8125,0.806,13.684865951538086,0.0003
5198748,499,0.3859587013721466,0.78125,0.8146,14.264031171798706,0.0003
5408400,519,0.2849302291870117,0.875,0.8098,14.846794605255127,0.0003
5617229,539,0.4826074540615082,0.75,0.816,15.42526888847351,0.0003
5828089,559,0.41416582465171814,0.8125,0.8092,16.00493621826172,0.0003
6033785,579,0.27880868315696716,0.84375,0.8214,16.58403468132019,0.0003
6241613,599,0.516978919506073,0.65625,0.8344,17.162367820739746,0.0003
6451479,619,0.33865317702293396,0.875,0.836,17.7408549785614,0.0003
6658150,639,0.2795376479625702,0.8125,0.8384,18.320502281188965,0.0003
6863769,659,0.45486676692962646,0.8125,0.8318,18.8997163772583,0.0003
7073420,679,0.420112669467926,0.90625,0.8476,19.479563236236572,0.0003
7275311,698,0.3292834460735321,0.84375,0.852,20.053025245666504,0.0003
7483784,718,0.2217416912317276,0.90625,0.8618,20.631166458129883,0.0003
7691637,738,0.46698489785194397,0.71875,0.8638,21.211531162261963,0.0003
7898023,758,0.18575933575630188,0.875,0.868,21.791270971298218,0.0003
8099894,777,0.34562912583351135,0.84375,0.8538,22.364261627197266,0.0003
8305090,797,0.12681084871292114,0.9375,0.877,22.944534063339233,0.0003
8513039,817,0.2283388376235962,0.875,0.8582,23.523220777511597,0.0003
8722547,837,0.20672829449176788,0.875,0.8722,24.10312271118164,0.0003
8922684,856,0.25925126671791077,0.875,0.872,24.67645263671875,0.0003
9131752,876,0.3219933807849884,0.84375,0.8806,25.256191730499268,0.0003
9335962,896,0.5067324042320251,0.84375,0.8802,25.832648754119873,0.0003
9536196,915,0.20521222054958344,0.875,0.8818,26.412832498550415,0.0003
9743350,935,0.2150687873363495,0.96875,0.876,26.992753982543945,0.0003
9945575,954,0.44771644473075867,0.8125,0.8738,27.566494464874268,0.0003
