backbone,tokenizer,n,acc_mean,acc_std,avg_len_mean,avg_len_std,p95_len_mean,p95_len_std,distortion_hat_mean,distortion_hat_std,p95_latency_ms_mean,p95_latency_ms_std
mini,BPE,1,0.8430750332685024,0.0,106.31292865185792,0.0,111.0,0.0,0.20627027908430753,0.0,1.4264320135116577,0.0
mini,Bytes,1,0.8263895997543249,0.0,336.47783805916674,0.0,347.0,0.0,0.28698293943442005,0.0,10.379615783691406,0.0
mini,CIT,1,0.8493192752584706,0.0,60.534548060190396,0.0,69.0,0.0,0.13812096784252623,0.0,1.3107199668884277,0.0
mini,Unigram,1,0.8351929573139523,0.0,232.96079434947282,0.0,245.0,0.0,0.2867556595883906,0.0,5.48470401763916,0.0
mini,WordPiece,1,0.8497287337496161,0.0,106.44098679496366,0.0,112.0,0.0,0.18127395353948897,0.0,1.627295970916748,0.0
small,BPE,1,0.8098065308629337,0.0,106.31292865185792,0.0,111.0,0.0,0.20627027908430753,0.0,7.2867841720581055,0.0
small,Bytes,1,0.7963967652779199,0.0,336.47783805916674,0.0,347.0,0.0,0.28698293943442005,0.0,24.90163230895996,0.0
small,CIT,1,0.8087828846350701,0.0,60.534548060190396,0.0,69.0,0.0,0.13812096784252623,0.0,4.865024089813232,0.0
small,Unigram,1,0.7741836421332787,0.0,232.96079434947282,0.0,245.0,0.0,0.2867556595883906,0.0,15.016960144042969,0.0
small,WordPiece,1,0.8101136247312929,0.0,106.44098679496366,0.0,112.0,0.0,0.18127395353948897,0.0,6.028287887573242,0.0
